observationunit_name,Plot score - 1-9 Rating,Plot size - feet,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,,,,,,
B4I_2025_IA_2329,7,104.52,8,7/4/2025,6/7/2025,6/5/2025,7/3/2025,184,157,155,183,,,,,,1/1/2025
B4I_2025_IA_2356,7,104.52,4,7/4/2025,6/7/2025,6/5/2025,7/3/2025,184,157,155,183,,,,,,1/1/2025
B4I_2025_IA_2372,5,104.52,7,7/3/2025,6/7/2025,6/5/2025,7/3/2025,183,157,155,183,,,,,,1/1/2025
B4I_2025_IA_2023,5,104.52,5,7/3/2025,6/6/2025,6/5/2025,7/3/2025,183,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2037,7,104.52,5,7/3/2025,6/6/2025,6/5/2025,7/3/2025,183,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2057,9,104.52,8,7/1/2025,6/6/2025,6/5/2025,7/3/2025,181,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2249,7,104.52,7,7/2/2025,6/6/2025,6/5/2025,7/3/2025,182,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2264,9,104.52,8,7/4/2025,6/6/2025,6/5/2025,7/3/2025,184,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2267,9,104.52,9,7/2/2025,6/6/2025,6/5/2025,7/3/2025,182,156,155,183,,,,,,1/1/2025
B4I_2025_IA_2010,7,104.52,6,7/3/2025,6/5/2025,6/5/2025,7/3/2025,183,155,155,183,,,,,,1/1/2025
B4I_2025_IA_2124,5,104.52,8,7/2/2025,6/5/2025,6/5/2025,7/3/2025,182,155,155,183,,,,,,1/1/2025
B4I_2025_IA_2324,7,104.52,7,7/2/2025,6/5/2025,6/5/2025,7/3/2025,182,155,155,183,,,,,,1/1/2025
B4I_2025_IA_2368,5,104.52,3,7/3/2025,6/5/2025,6/5/2025,7/3/2025,183,155,155,183,,,,,,1/1/2025
B4I_2025_IA_2025,7,104.52,7,7/3/2025,6/4/2025,6/5/2025,7/3/2025,183,154,155,183,,,,,,1/1/2025
B4I_2025_IA_2349,7,104.52,8,7/3/2025,6/4/2025,6/5/2025,7/3/2025,183,154,155,183,,,,,,1/1/2025
B4I_2025_IA_2306,5,104.52,0,7/1/2025,6/3/2025,6/5/2025,7/3/2025,181,153,155,183,,,,,,1/1/2025
B4I_2025_IA_2078,3,104.52,7,7/5/2025,6/10/2025,6/4/2025,7/3/2025,185,160,154,183,,,,,,1/1/2025
B4I_2025_IA_2066,9,104.52,6,7/5/2025,6/7/2025,6/4/2025,7/3/2025,185,157,154,183,,,,,,1/1/2025
B4I_2025_IA_2142,7,104.52,7,7/3/2025,6/7/2025,6/4/2025,7/3/2025,183,157,154,183,,,,,,1/1/2025
B4I_2025_IA_2385,7,104.52,5,7/3/2025,6/6/2025,6/4/2025,7/3/2025,183,156,154,183,,,,,,1/1/2025
B4I_2025_IA_2113,7,104.52,7,6/30/2025,6/5/2025,6/4/2025,7/3/2025,180,155,154,183,,,,,,1/1/2025
B4I_2025_IA_2316,7,104.52,8,6/30/2025,6/5/2025,6/4/2025,7/3/2025,180,155,154,183,,,,,,1/1/2025
B4I_2025_IA_2018,7,104.52,7,7/2/2025,6/3/2025,6/4/2025,7/3/2025,182,153,154,183,,,,,,1/1/2025
B4I_2025_IA_2305,7,104.52,7,6/30/2025,6/3/2025,6/4/2025,7/3/2025,180,153,154,183,,,,,,1/1/2025
B4I_2025_IA_2099,9,104.52,8,7/3/2025,6/2/2025,6/4/2025,7/3/2025,183,152,154,183,,,,,,1/1/2025
B4I_2025_IA_2270,7,104.52,8,7/5/2025,6/8/2025,6/3/2025,7/3/2025,185,158,153,183,,,,,,1/1/2025
B4I_2025_IA_2053,5,104.52,8,7/3/2025,6/7/2025,6/3/2025,7/3/2025,183,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2216,5,104.52,7,7/1/2025,6/7/2025,6/3/2025,7/3/2025,181,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2278,7,104.52,8,7/2/2025,6/7/2025,6/3/2025,7/3/2025,182,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2285,7,104.52,7,7/4/2025,6/7/2025,6/3/2025,7/3/2025,184,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2298,7,104.52,8,7/3/2025,6/7/2025,6/3/2025,7/3/2025,183,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2325,7,104.52,7,7/3/2025,6/7/2025,6/3/2025,7/3/2025,183,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2342,9,104.52,8,7/3/2025,6/7/2025,6/3/2025,7/3/2025,183,157,153,183,,,,,,1/1/2025
B4I_2025_IA_2009,7,104.52,3,7/4/2025,6/6/2025,6/3/2025,7/3/2025,184,156,153,183,,,,,,1/1/2025
B4I_2025_IA_2357,7,104.52,2,7/4/2025,6/6/2025,6/3/2025,7/3/2025,184,156,153,183,,,,,,1/1/2025
B4I_2025_IA_2360,5,104.52,7,7/5/2025,6/6/2025,6/3/2025,7/3/2025,185,156,153,183,,,,,,1/1/2025
B4I_2025_IA_2312,9,104.52,6,7/3/2025,6/5/2025,6/3/2025,7/3/2025,183,155,153,183,,,,,,1/1/2025
B4I_2025_IA_2183,7,104.52,5,7/3/2025,6/4/2025,6/3/2025,7/3/2025,183,154,153,183,,,,,,1/1/2025
B4I_2025_IA_2220,5,104.52,7,7/2/2025,6/4/2025,6/3/2025,7/3/2025,182,154,153,183,,,,,,1/1/2025
B4I_2025_IA_2335,7,104.52,8,7/2/2025,6/3/2025,6/3/2025,7/3/2025,182,153,153,183,,,,,,1/1/2025
B4I_2025_IA_2231,9,104.52,8,7/3/2025,6/8/2025,6/2/2025,7/3/2025,183,158,152,183,,,,,,1/1/2025
B4I_2025_IA_2301,7,104.52,9,7/5/2025,6/7/2025,6/2/2025,7/3/2025,185,157,152,183,,,,,,1/1/2025
B4I_2025_IA_2336,7,104.52,6,7/3/2025,6/7/2025,6/2/2025,7/3/2025,183,157,152,183,,,,,,1/1/2025
B4I_2025_IA_2064,5,104.52,7,7/4/2025,6/5/2025,6/2/2025,7/3/2025,184,155,152,183,,,,,,1/1/2025
B4I_2025_IA_2197,5,104.52,4,7/3/2025,6/5/2025,6/2/2025,7/3/2025,183,155,152,183,,,,,,1/1/2025
B4I_2025_IA_2369,7,104.52,4,7/3/2025,6/5/2025,6/2/2025,7/3/2025,183,155,152,183,,,,,,1/1/2025
B4I_2025_IA_2379,9,104.52,7,7/1/2025,6/5/2025,6/2/2025,7/3/2025,181,155,152,183,,,,,,1/1/2025
B4I_2025_IA_2116,5,104.52,7,7/4/2025,6/4/2025,6/2/2025,7/3/2025,184,154,152,183,,,,,,1/1/2025
B4I_2025_IA_2384,7,104.52,6,6/30/2025,6/4/2025,6/2/2025,7/3/2025,180,154,152,183,,,,,,1/1/2025
B4I_2025_IA_2143,9,104.52,9,7/4/2025,6/7/2025,6/1/2025,7/3/2025,184,157,151,183,,,,,,1/1/2025
B4I_2025_IA_2387,5,104.52,6,7/4/2025,6/7/2025,6/1/2025,7/3/2025,184,157,151,183,,,,,,1/1/2025
B4I_2025_IA_2172,5,104.52,7,7/3/2025,6/5/2025,6/1/2025,7/3/2025,183,155,151,183,,,,,,1/1/2025
B4I_2025_IA_2330,7,104.52,7,7/3/2025,6/4/2025,6/1/2025,7/3/2025,183,154,151,183,,,,,,1/1/2025
B4I_2025_IA_2359,7,104.52,8,6/30/2025,6/4/2025,6/1/2025,7/3/2025,180,154,151,183,,,,,,1/1/2025
B4I_2025_IA_2268,9,104.52,8,7/1/2025,6/1/2025,5/31/2025,7/3/2025,181,151,150,183,,,,,,1/1/2025
B4I_2025_IA_2138,5,104.52,1,7/4/2025,6/6/2025,6/9/2025,7/2/2025,184,156,159,182,,,,,,1/1/2025
B4I_2025_IA_2247,3,104.52,5,7/3/2025,6/5/2025,6/9/2025,7/2/2025,183,155,159,182,,,,,,1/1/2025
B4I_2025_IA_2074,9,104.52,8,7/3/2025,6/7/2025,6/7/2025,7/2/2025,183,157,157,182,,,,,,1/1/2025
B4I_2025_IA_2107,7,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/2/2025,183,157,157,182,,,,,,1/1/2025
B4I_2025_IA_2210,7,104.52,8,7/2/2025,6/7/2025,6/7/2025,7/2/2025,182,157,157,182,,,,,,1/1/2025
B4I_2025_IA_2294,7,104.52,6,7/4/2025,6/7/2025,6/7/2025,7/2/2025,184,157,157,182,,,,,,1/1/2025
B4I_2025_IA_2334,9,104.52,7,7/3/2025,6/7/2025,6/7/2025,7/2/2025,183,157,157,182,,,,,,1/1/2025
B4I_2025_IA_2085,3,104.52,2,7/3/2025,6/5/2025,6/7/2025,7/2/2025,183,155,157,182,,,,,,1/1/2025
B4I_2025_IA_2221,3,104.52,6,6/30/2025,6/5/2025,6/7/2025,7/2/2025,180,155,157,182,,,,,,1/1/2025
B4I_2025_IA_2314,5,104.52,7,7/3/2025,6/5/2025,6/7/2025,7/2/2025,183,155,157,182,,,,,,1/1/2025
B4I_2025_IA_2211,5,104.52,1,6/30/2025,6/4/2025,6/7/2025,7/2/2025,180,154,157,182,,,,,,1/1/2025
B4I_2025_IA_2315,7,104.52,8,6/30/2025,6/2/2025,6/7/2025,7/2/2025,180,152,157,182,,,,,,1/1/2025
B4I_2025_IA_2310,7,104.52,7,7/1/2025,6/1/2025,6/7/2025,7/2/2025,181,151,157,182,,,,,,1/1/2025
B4I_2025_IA_2399,7,104.52,1,7/1/2025,6/1/2025,6/7/2025,7/2/2025,181,151,157,182,,,,,,1/1/2025
B4I_2025_IA_2214,5,104.52,4,7/5/2025,6/9/2025,6/6/2025,7/2/2025,185,159,156,182,,,,,,1/1/2025
B4I_2025_IA_2212,5,104.52,4,7/4/2025,6/8/2025,6/6/2025,7/2/2025,184,158,156,182,,,,,,1/1/2025
B4I_2025_IA_2269,9,104.52,7,7/3/2025,6/5/2025,6/6/2025,7/2/2025,183,155,156,182,,,,,,1/1/2025
B4I_2025_IA_2242,7,104.52,4,7/1/2025,6/4/2025,6/6/2025,7/2/2025,181,154,156,182,,,,,,1/1/2025
B4I_2025_IA_2209,3,104.52,1,7/1/2025,6/2/2025,6/6/2025,7/2/2025,181,152,156,182,,,,,,1/1/2025
B4I_2025_IA_2011,7,104.52,1,7/3/2025,6/8/2025,6/5/2025,7/2/2025,183,158,155,182,,,,,,1/1/2025
B4I_2025_IA_2224,5,104.52,1,7/4/2025,6/8/2025,6/5/2025,7/2/2025,184,158,155,182,,,,,,1/1/2025
B4I_2025_IA_2123,7,104.52,4,7/3/2025,6/7/2025,6/5/2025,7/2/2025,183,157,155,182,,,,,,1/1/2025
B4I_2025_IA_2236,5,104.52,8,7/3/2025,6/7/2025,6/5/2025,7/2/2025,183,157,155,182,,,,,,1/1/2025
B4I_2025_IA_2282,7,104.52,8,7/4/2025,6/7/2025,6/5/2025,7/2/2025,184,157,155,182,,,,,,1/1/2025
B4I_2025_IA_2027,7,104.52,7,7/5/2025,6/6/2025,6/5/2025,7/2/2025,185,156,155,182,,,,,,1/1/2025
B4I_2025_IA_2139,5,104.52,8,6/30/2025,6/5/2025,6/5/2025,7/2/2025,180,155,155,182,,,,,,1/1/2025
B4I_2025_IA_2204,3,104.52,0,7/2/2025,6/5/2025,6/5/2025,7/2/2025,182,155,155,182,,,,,,1/1/2025
B4I_2025_IA_2229,7,104.52,3,7/2/2025,6/5/2025,6/5/2025,7/2/2025,182,155,155,182,,,,,,1/1/2025
B4I_2025_IA_2248,9,104.52,6,7/4/2025,6/5/2025,6/5/2025,7/2/2025,184,155,155,182,,,,,,1/1/2025
B4I_2025_IA_2332,5,104.52,7,7/1/2025,6/5/2025,6/5/2025,7/2/2025,181,155,155,182,,,,,,1/1/2025
B4I_2025_IA_2338,9,104.52,9,7/1/2025,6/4/2025,6/5/2025,7/2/2025,181,154,155,182,,,,,,1/1/2025
B4I_2025_IA_2004,7,104.52,0,7/1/2025,6/3/2025,6/5/2025,7/2/2025,181,153,155,182,,,,,,1/1/2025
B4I_2025_IA_2353,7,104.52,2,7/1/2025,5/31/2025,6/1/2025,7/1/2025,181,150,151,181,,,,,,1/1/2025
B4I_2025_IA_2198,7,104.52,7,7/1/2025,6/3/2025,6/5/2025,7/2/2025,181,153,155,182,,,,,,1/1/2025
B4I_2025_IA_2392,5,104.52,4,7/4/2025,6/3/2025,6/5/2025,7/2/2025,184,153,155,182,,,,,,1/1/2025
B4I_2025_IA_2114,7,104.52,8,7/5/2025,6/5/2025,6/4/2025,7/2/2025,185,155,154,182,,,,,,1/1/2025
B4I_2025_IA_2076,3,104.52,8,7/3/2025,6/8/2025,6/3/2025,7/2/2025,183,158,153,182,,,,,,1/1/2025
B4I_2025_IA_2089,7,104.52,7,7/4/2025,6/7/2025,6/3/2025,7/2/2025,184,157,153,182,,,,,,1/1/2025
B4I_2025_IA_2277,5,104.52,7,7/4/2025,6/7/2025,6/3/2025,7/2/2025,184,157,153,182,,,,,,1/1/2025
B4I_2025_IA_2117,7,104.52,6,7/3/2025,6/6/2025,6/3/2025,7/2/2025,183,156,153,182,,,,,,1/1/2025
B4I_2025_IA_2127,7,104.52,8,7/4/2025,6/5/2025,6/3/2025,7/2/2025,184,155,153,182,,,,,,1/1/2025
B4I_2025_IA_2222,7,104.52,2,7/3/2025,6/4/2025,6/3/2025,7/2/2025,183,154,153,182,,,,,,1/1/2025
B4I_2025_IA_2318,5,104.52,8,7/3/2025,6/4/2025,6/3/2025,7/2/2025,183,154,153,182,,,,,,1/1/2025
B4I_2025_IA_2082,7,104.52,7,7/3/2025,6/7/2025,6/2/2025,7/2/2025,183,157,152,182,,,,,,1/1/2025
B4I_2025_IA_2400,7,104.52,6,7/3/2025,6/5/2025,6/2/2025,7/2/2025,183,155,152,182,,,,,,1/1/2025
B4I_2025_IA_2375,9,104.52,8,7/3/2025,6/4/2025,6/2/2025,7/2/2025,183,154,152,182,,,,,,1/1/2025
B4I_2025_IA_2327,5,104.52,8,7/3/2025,6/4/2025,5/30/2025,7/2/2025,183,154,149,182,,,,,,1/1/2025
B4I_2025_IA_2252,7,104.52,6,7/1/2025,6/3/2025,5/30/2025,7/2/2025,181,153,149,182,,,,,,1/1/2025
B4I_2025_IA_2380,7,104.52,2,7/3/2025,6/6/2025,5/28/2025,7/2/2025,183,156,147,182,,,,,,1/1/2025
B4I_2025_IA_2044,5,104.52,7,7/3/2025,6/4/2025,6/8/2025,7/1/2025,183,154,158,181,,,,,,1/1/2025
B4I_2025_IA_2373,7,104.52,7,7/1/2025,6/1/2025,6/5/2025,7/1/2025,181,151,155,181,,,,,,1/1/2025
B4I_2025_IA_2005,7,104.52,7,7/3/2025,6/3/2025,6/2/2025,7/1/2025,183,153,152,181,,,,,,1/1/2025
B4I_2025_IA_2326,7,104.52,8,7/3/2025,6/4/2025,6/1/2025,7/1/2025,183,154,151,181,,,,,,1/1/2025
B4I_2025_IA_2389,7,104.52,7,7/3/2025,6/2/2025,6/1/2025,7/1/2025,183,152,151,181,,,,,,1/1/2025
B4I_2025_IA_2035,9,104.52,6,6/29/2025,6/1/2025,6/7/2025,6/30/2025,179,151,157,180,,,,,,1/1/2025
B4I_2025_IA_2063,7,104.52,6,7/3/2025,6/9/2025,6/5/2025,6/30/2025,183,159,155,180,,,,,,1/1/2025
B4I_2025_IA_2077,7,104.52,7,7/3/2025,6/6/2025,6/5/2025,6/30/2025,183,156,155,180,,,,,,1/1/2025
B4I_2025_IA_2061,5,104.52,5,7/3/2025,6/2/2025,6/5/2025,6/30/2025,183,152,155,180,,,,,,1/1/2025
B4I_2025_IA_2304,9,104.52,3,7/2/2025,6/3/2025,6/4/2025,6/30/2025,182,153,154,180,,,,,,1/1/2025
B4I_2025_IA_2366,5,104.52,8,7/4/2025,6/8/2025,6/3/2025,6/30/2025,184,158,153,180,,,,,,1/1/2025
B4I_2025_IA_2235,5,104.52,8,6/30/2025,6/4/2025,6/3/2025,6/30/2025,180,154,153,180,,,,,,1/1/2025
B4I_2025_IA_2382,9,104.52,6,7/3/2025,6/4/2025,6/3/2025,6/30/2025,183,154,153,180,,,,,,1/1/2025
B4I_2025_IA_2003,7,104.52,6,7/5/2025,6/10/2025,6/1/2025,6/30/2025,185,160,151,180,,,,,,1/1/2025
B4I_2025_IA_2297,9,104.52,8,7/1/2025,6/5/2025,5/30/2025,6/30/2025,181,155,149,180,,,,,,1/1/2025
B4I_2025_IA_2292,7,104.52,8,7/1/2025,6/2/2025,5/29/2025,6/30/2025,181,152,148,180,,,,,,1/1/2025
B4I_2025_IA_2052,7,104.52,6,7/3/2025,6/7/2025,6/5/2025,6/29/2025,183,157,155,179,,,,,,1/1/2025
B4I_2025_IA_2333,7,104.52,7,7/3/2025,6/5/2025,6/5/2025,6/29/2025,183,155,155,179,,,,,,1/1/2025
B4I_2025_IA_2175,7,104.52,8,7/3/2025,6/7/2025,6/4/2025,6/29/2025,183,157,154,179,,,,,,1/1/2025
B4I_2025_IA_2001,9,104.52,6,7/4/2025,6/8/2025,6/2/2025,6/29/2025,184,158,152,179,,,,,,1/1/2025
B4I_2025_IA_2020,7,104.52,0,7/5/2025,6/6/2025,6/2/2025,6/29/2025,185,156,152,179,,,,,,1/1/2025
B4I_2025_IA_2141,5,104.52,9,7/3/2025,6/5/2025,6/2/2025,6/29/2025,183,155,152,179,,,,,,1/1/2025
B4I_2025_IA_2291,9,104.52,6,7/3/2025,6/5/2025,6/2/2025,6/29/2025,183,155,152,179,,,,,,1/1/2025
B4I_2025_IA_2118,9,104.52,7,7/3/2025,6/7/2025,6/1/2025,6/29/2025,183,157,151,179,,,,,,1/1/2025
B4I_2025_IA_2201,5,104.52,7,7/3/2025,6/7/2025,6/1/2025,6/29/2025,183,157,151,179,,,,,,1/1/2025
B4I_2025_IA_2207,5,104.52,8,7/3/2025,6/5/2025,6/1/2025,6/29/2025,183,155,151,179,,,,,,1/1/2025
B4I_2025_IA_2007,5,104.52,7,7/3/2025,6/4/2025,6/1/2025,6/29/2025,183,154,151,179,,,,,,1/1/2025
B4I_2025_IA_2321,9,104.52,8,7/3/2025,6/5/2025,6/4/2025,6/28/2025,183,155,154,178,,,,,,1/1/2025
B4I_2025_IA_2015,9,104.52,8,7/4/2025,6/7/2025,6/1/2025,6/28/2025,184,157,151,178,,,,,,1/1/2025
B4I_2025_IA_2320,9,104.52,8,7/2/2025,6/4/2025,6/1/2025,6/28/2025,182,154,151,178,,,,,,1/1/2025
B4I_2025_IA_2050,7,104.52,9,7/3/2025,6/2/2025,6/1/2025,6/28/2025,183,152,151,178,,,,,,1/1/2025
