current_year,affiliation,timing,plot_id,count,missing
2024,NY02,1.0,713497,3,image
2024,NY02,1.0,713507,3,image
2024,NY02,1.0,713509,2,image
2024,NY02,1.0,713515,3,image
2024,NY02,1.0,713532,2,image
2024,NY02,1.0,713542,3,image
2024,NY02,1.0,713570,3,image
2024,NY02,1.0,713596,2,image
2024,NY02,1.0,713606,3,image
2024,NY02,1.0,713608,3,image
2024,NY02,1.0,713627,2,image
2024,NY02,1.0,713644,2,image
2024,NY02,1.0,713646,2,image
2024,NY02,1.0,713653,2,image
2024,NY02,1.0,713663,2,image
2024,NY02,1.0,713676,3,image
2024,NY02,1.0,713683,2,image
2024,NY02,1.0,713689,3,image
2024,NY02,1.0,713698,2,image
2024,NY02,1.0,713704,2,image
2024,NY02,1.0,713722,3,image
2024,NY02,1.0,713737,3,image
2024,NY02,1.0,713748,2,image
2024,NY02,1.0,713793,2,image
2024,NY02,1.0,713809,2,image
2024,NY02,1.0,713817,3,image
2024,NY02,1.0,713827,3,image
2024,NY02,1.0,713842,3,image
2024,NY02,1.0,713847,3,image
2024,NY02,1.0,713857,3,image
2024,NY02,1.0,713877,3,image
2024,NY02,1.0,713883,2,image
2024,NY02,1.0,713901,3,image
2024,NY02,1.0,713929,2,image
2024,NY02,1.0,713947,2,image
2024,NY02,1.0,713961,3,image
2024,NY02,1.0,713971,2,image
2024,NY02,1.0,713982,3,image
2024,NY02,1.0,713996,3,image
2024,NY02,1.0,714006,3,image
2024,NY02,1.0,714008,3,image
2024,NY02,1.0,714028,3,image
2024,NY02,1.0,714034,3,image
2024,NY02,1.0,714049,2,image
2024,NY02,1.0,714064,3,image
2024,NY02,1.0,714067,2,image
2024,NY02,1.0,714070,2,image
2024,NY02,1.0,714077,2,image
2024,NY02,1.0,714080,3,image
2024,NY02,1.0,714083,2,image
2024,NY02,1.0,714088,2,image
2024,NY02,1.0,714097,3,image
2024,NY02,1.0,714107,3,image
2024,NY02,1.0,714110,3,image
2024,NY02,1.0,714113,2,image
2024,NY02,1.0,714125,2,image
2024,NY02,1.0,714131,3,image
2024,NY02,1.0,714143,2,image
2024,NY02,1.0,714145,2,image
2024,NY02,1.0,714157,2,image
2024,NY02,1.0,714169,2,image
2024,NY02,1.0,714193,2,image
2024,NY02,1.0,714203,3,image
2024,NY02,1.0,714229,2,image
2024,NY02,1.0,714245,2,image
2024,NY02,1.0,714252,3,image
2024,NY02,1.0,714264,3,image
2024,NY02,1.0,714270,3,image
2024,NY02,1.0,714280,3,image
2024,NY02,1.0,714282,3,image
2024,NY02,1.0,714292,2,image
2024,NY02,1.0,714297,2,image
2024,NY02,1.0,714299,2,image
2024,NY02,1.0,714309,2,image
2024,NY02,1.0,714315,3,image
2024,NY02,1.0,714323,2,image
2024,NY02,1.0,714333,3,image
2024,NY02,1.0,714335,3,image
2024,NY02,1.0,714347,3,image
2024,NY02,1.0,714370,2,image
2024,NY02,1.0,714376,3,image
2024,NY02,1.0,714382,2,image
2024,NY02,1.0,714384,2,image
2024,NY02,1.0,714406,3,image
2024,NY02,1.0,714412,3,image
2024,NY02,1.0,714414,3,image
2024,NY02,1.0,714425,3,image
2024,NY02,1.0,714447,2,image
2024,NY02,1.0,714453,2,image
2024,NY02,1.0,714459,2,image
2024,NY02,1.0,714464,2,image
2024,NY02,1.0,714482,2,image
2024,NY02,1.0,714484,2,image
2024,NY02,1.0,714531,2,image
2024,NY02,1.0,714541,2,image
2024,NY02,1.0,714553,2,image
2024,NY02,1.0,714559,2,image
2024,NY02,1.0,714570,3,image
2024,NY02,1.0,714578,2,image
2024,NY02,1.0,714588,2,image
2024,NY02,1.0,716171,2,image
2024,NY02,1.0,716177,2,image
2024,NY02,1.0,716182,2,image
2024,NY02,1.0,716188,2,image
2024,NY02,1.0,716195,12,complete
2024,NY02,1.0,716201,1,image
2024,NY02,1.0,716207,3,image
2024,NY02,1.0,716210,2,image
2024,NY02,1.0,716213,2,image
2024,NY02,1.0,716239,2,image
2024,NY02,1.0,716242,8,complete
2024,NY02,1.0,716257,12,complete
2024,NY02,1.0,716260,2,image
2024,NY02,1.0,716266,8,complete
2024,NY02,1.0,716270,1,image
2024,NY02,1.0,716299,3,image
2024,NY02,1.0,716303,2,image
2024,NY02,1.0,716314,2,image
2024,NY02,1.0,716317,12,complete
2024,NY02,1.0,716320,2,image
2024,NY02,1.0,716353,1,image
2024,NY02,1.0,716365,4,biomass
2024,NY02,1.0,716384,3,image
2024,NY02,1.0,716392,1,image
2024,NY02,1.0,716396,3,image
2024,NY02,1.0,716404,2,image
2024,NY02,1.0,716405,8,complete
2024,NY02,1.0,716417,2,image
2024,NY02,1.0,716425,8,complete
2024,NY02,1.0,716432,1,image
2024,NY02,1.0,716435,2,image
2024,NY02,1.0,716470,3,image
2024,NY02,1.0,716498,2,image
2024,NY02,1.0,716510,3,image
2024,NY02,1.0,716516,2,image
2024,NY02,1.0,716543,8,complete
2024,NY02,1.0,716582,3,image
2024,NY02,1.0,716590,12,complete
2024,NY02,1.0,716591,2,image
2024,NY02,1.0,716596,3,image
2024,NY02,1.0,716618,3,image
2024,NY02,1.0,716621,3,image
2024,NY02,1.0,716626,3,image
2024,NY02,1.0,716632,3,image
2024,NY02,1.0,716645,2,image
2024,NY02,1.0,716665,3,image
2024,NY02,1.0,716668,2,image
2024,NY02,1.0,716674,2,image
2024,NY02,1.0,716678,2,image
2024,NY02,1.0,716696,2,image
2024,NY02,1.0,716707,3,image
2024,NY02,1.0,716710,3,image
2024,NY02,1.0,716711,2,image
2024,NY02,1.0,716731,12,complete
2024,NY02,1.0,716756,2,image
2024,NY02,1.0,716761,2,image
2024,NY02,1.0,716764,12,complete
2024,NY02,1.0,716765,3,image
2024,NY02,1.0,716768,3,image
2024,NY02,1.0,716788,1,image
2024,NY02,1.0,716791,4,complete
2024,NY02,1.0,716809,3,image
2024,NY02,1.0,716818,2,image
2024,NY02,1.0,716821,2,image
2024,NY02,1.0,716828,2,image
2024,NY02,1.0,716831,2,image
2024,NY02,1.0,716848,8,complete
2024,NY02,1.0,716894,8,complete
2024,NY02,1.0,716900,1,image
2024,NY02,1.0,716903,3,image
2024,NY02,1.0,716909,3,image
2024,NY02,1.0,716914,12,complete
2024,NY02,1.0,716915,8,complete
2024,NY02,1.0,716923,2,image
2024,NY02,1.0,716924,8,complete
2024,NY02,1.0,716927,2,image
2024,NY02,1.0,716948,4,complete
2024,NY02,1.0,716956,2,image
2024,NY02,1.0,716959,2,image
2024,NY02,1.0,716962,3,image
2024,NY02,1.0,716990,2,image
2024,NY02,1.0,716995,2,image
2024,NY02,1.0,716999,3,image
2024,NY02,1.0,717010,3,image
2024,NY02,1.0,717011,8,complete
2024,NY02,1.0,717020,3,image
2024,NY02,1.0,717050,12,complete
2024,NY02,1.0,717055,8,complete
2024,NY02,1.0,717079,8,complete
2024,NY02,1.0,717091,2,image
2024,NY02,1.0,717094,2,image
2024,NY02,1.0,717098,4,complete
2024,NY02,1.0,717112,2,image
2024,NY02,1.0,717113,2,image
2024,NY02,1.0,717130,2,image
2024,NY02,1.0,717136,3,image
2024,NY02,1.0,717146,3,image
2024,NY02,1.0,717178,2,image
2024,NY02,1.0,717179,1,image
2024,NY02,1.0,717193,8,complete
2024,NY02,1.0,717194,2,image
2024,NY02,1.0,717211,1,image
2024,NY02,1.0,717212,2,image
2024,NY02,1.0,717217,2,image
2024,NY02,1.0,717223,3,image
2024,NY02,1.0,717236,2,image
2024,NY02,1.0,717241,8,complete
2024,NY02,1.0,717251,2,image
2024,NY02,1.0,717256,2,image
2024,NY02,1.0,717268,2,image
2024,NY02,1.0,717269,3,image
2024,NY02,1.0,717272,3,image
2024,NY02,1.0,717278,2,image
2024,NY02,1.0,717295,2,image
2024,NY02,1.0,717298,12,complete
2024,NY02,1.0,717356,2,image
2024,NY02,1.0,717366,2,image
2024,NY02,1.0,717374,2,image
2024,NY02,1.0,717380,3,image
2024,NY02,1.0,717384,3,image
2024,NY02,1.0,717390,3,image
2024,NY02,1.0,717396,3,image
2024,NY02,1.0,717399,3,image
2024,NY02,1.0,717404,3,image
2024,NY02,1.0,717408,3,image
2024,NY02,1.0,717414,3,image
2024,NY02,1.0,717423,3,image
2024,NY02,1.0,717426,3,image
2024,NY02,1.0,717444,3,image
2024,NY02,1.0,717458,3,image
2024,NY02,1.0,717465,3,image
2024,NY02,1.0,717474,3,image
2024,NY02,1.0,717479,3,image
2024,NY02,1.0,717480,2,image
2024,NY02,1.0,717485,3,image
2024,NY02,1.0,717491,3,image
2024,NY02,1.0,717492,2,image
2024,NY02,1.0,717495,3,image
2024,NY02,1.0,717498,3,image
2024,NY02,1.0,717501,3,image
2024,NY02,1.0,717506,3,image
2024,NY02,2.0,716165,2,image
2024,NY02,2.0,716170,1,image
2024,NY02,2.0,716176,3,image
2024,NY02,2.0,716189,2,image
2024,NY02,2.0,716222,1,image
2024,NY02,2.0,716231,2,image
2024,NY02,2.0,716234,2,image
2024,NY02,2.0,716243,2,image
2024,NY02,2.0,716254,2,image
2024,NY02,2.0,716263,1,image
2024,NY02,2.0,716267,1,image
2024,NY02,2.0,716281,1,image
2024,NY02,2.0,716284,2,image
2024,NY02,2.0,716287,1,image
2024,NY02,2.0,716294,2,image
2024,NY02,2.0,716300,3,image
2024,NY02,2.0,716306,1,image
2024,NY02,2.0,716311,3,image
2024,NY02,2.0,716321,3,image
2024,NY02,2.0,716329,3,image
2024,NY02,2.0,716332,2,image
2024,NY02,2.0,716336,1,image
2024,NY02,2.0,716342,3,image
2024,NY02,2.0,716345,2,image
2024,NY02,2.0,716350,2,image
2024,NY02,2.0,716354,2,image
2024,NY02,2.0,716360,2,image
2024,NY02,2.0,716366,1,image
2024,NY02,2.0,716369,1,image
2024,NY02,2.0,716372,1,image
2024,NY02,2.0,716381,3,image
2024,NY02,2.0,716389,3,image
2024,NY02,2.0,716393,1,image
2024,NY02,2.0,716408,1,image
2024,NY02,2.0,716420,2,image
2024,NY02,2.0,716426,2,image
2024,NY02,2.0,716431,3,image
2024,NY02,2.0,716444,1,image
2024,NY02,2.0,716449,1,image
2024,NY02,2.0,716452,2,image
2024,NY02,2.0,716455,2,image
2024,NY02,2.0,716456,1,image
2024,NY02,2.0,716462,1,image
2024,NY02,2.0,716467,2,image
2024,NY02,2.0,716471,2,image
2024,NY02,2.0,716476,3,image
2024,NY02,2.0,716479,2,image
2024,NY02,2.0,716480,2,image
2024,NY02,2.0,716483,2,image
2024,NY02,2.0,716488,3,image
2024,NY02,2.0,716492,1,image
2024,NY02,2.0,716497,1,image
2024,NY02,2.0,716501,3,image
2024,NY02,2.0,716506,2,image
2024,NY02,2.0,716509,1,image
2024,NY02,2.0,716513,1,image
2024,NY02,2.0,716521,1,image
2024,NY02,2.0,716524,2,image
2024,NY02,2.0,716530,3,image
2024,NY02,2.0,716531,2,image
2024,NY02,2.0,716536,2,image
2024,NY02,2.0,716537,2,image
2024,NY02,2.0,716540,2,image
2024,NY02,2.0,716551,3,image
2024,NY02,2.0,716557,2,image
2024,NY02,2.0,716560,2,image
2024,NY02,2.0,716563,2,image
2024,NY02,2.0,716570,1,image
2024,NY02,2.0,716576,2,image
2024,NY02,2.0,716579,2,image
2024,NY02,2.0,716587,1,image
2024,NY02,2.0,716599,3,image
2024,NY02,2.0,716605,3,image
2024,NY02,2.0,716611,2,image
2024,NY02,2.0,716612,3,image
2024,NY02,2.0,716641,2,image
2024,NY02,2.0,716642,2,image
2024,NY02,2.0,716648,1,image
2024,NY02,2.0,716653,2,image
2024,NY02,2.0,716671,2,image
2024,NY02,2.0,716683,1,image
2024,NY02,2.0,716687,2,image
2024,NY02,2.0,716692,1,image
2024,NY02,2.0,716695,1,image
2024,NY02,2.0,716699,1,image
2024,NY02,2.0,716716,2,image
2024,NY02,2.0,716720,3,image
2024,NY02,2.0,716725,2,image
2024,NY02,2.0,716738,2,image
2024,NY02,2.0,716741,2,image
2024,NY02,2.0,716749,3,image
2024,NY02,2.0,716752,2,image
2024,NY02,2.0,716753,2,image
2024,NY02,2.0,716785,2,image
2024,NY02,2.0,716797,1,image
2024,NY02,2.0,716800,2,image
2024,NY02,2.0,716804,2,image
2024,NY02,2.0,716824,2,image
2024,NY02,2.0,716827,2,image
2024,NY02,2.0,716839,1,image
2024,NY02,2.0,716840,2,image
2024,NY02,2.0,716849,2,image
2024,NY02,2.0,716852,2,image
2024,NY02,2.0,716857,3,image
2024,NY02,2.0,716858,3,image
2024,NY02,2.0,716863,1,image
2024,NY02,2.0,716870,2,image
2024,NY02,2.0,716875,1,image
2024,NY02,2.0,716878,2,image
2024,NY02,2.0,716879,3,image
2024,NY02,2.0,716882,1,image
2024,NY02,2.0,716887,1,image
2024,NY02,2.0,716891,2,image
2024,NY02,2.0,716899,2,image
2024,NY02,2.0,716918,3,image
2024,NY02,2.0,716938,1,image
2024,NY02,2.0,716939,1,image
2024,NY02,2.0,716947,2,image
2024,NY02,2.0,716951,2,image
2024,NY02,2.0,716969,1,image
2024,NY02,2.0,716974,3,image
2024,NY02,2.0,716975,1,image
2024,NY02,2.0,716980,3,image
2024,NY02,2.0,716981,1,image
2024,NY02,2.0,716986,1,image
2024,NY02,2.0,716989,2,image
2024,NY02,2.0,716996,2,image
2024,NY02,2.0,717002,2,image
2024,NY02,2.0,717005,2,image
2024,NY02,2.0,717017,2,image
2024,NY02,2.0,717023,2,image
2024,NY02,2.0,717028,2,image
2024,NY02,2.0,717032,1,image
2024,NY02,2.0,717035,2,image
2024,NY02,2.0,717040,1,image
2024,NY02,2.0,717043,1,image
2024,NY02,2.0,717046,1,image
2024,NY02,2.0,717056,3,image
2024,NY02,2.0,717065,2,image
2024,NY02,2.0,717082,1,image
2024,NY02,2.0,717085,1,image
2024,NY02,2.0,717109,2,image
2024,NY02,2.0,717118,3,image
2024,NY02,2.0,717119,2,image
2024,NY02,2.0,717124,1,image
2024,NY02,2.0,717127,2,image
2024,NY02,2.0,717131,2,image
2024,NY02,2.0,717145,1,image
2024,NY02,2.0,717149,2,image
2024,NY02,2.0,717152,2,image
2024,NY02,2.0,717155,3,image
2024,NY02,2.0,717160,2,image
2024,NY02,2.0,717164,3,image
2024,NY02,2.0,717169,2,image
2024,NY02,2.0,717173,2,image
2024,NY02,2.0,717182,2,image
2024,NY02,2.0,717188,1,image
2024,NY02,2.0,717205,2,image
2024,NY02,2.0,717206,2,image
2024,NY02,2.0,717224,2,image
2024,NY02,2.0,717233,1,image
2024,NY02,2.0,717247,1,image
2024,NY02,2.0,717250,2,image
2024,NY02,2.0,717257,3,image
2024,NY02,2.0,717277,2,image
2024,NY02,2.0,717283,1,image
2024,NY02,2.0,717289,2,image
2024,NY02,2.0,717290,2,image
2024,NY02,3.0,717353,12,complete
2024,NY02,3.0,717354,8,complete
2024,NY02,3.0,717360,12,complete
2024,NY02,3.0,717368,8,complete
2024,NY02,3.0,717386,8,complete
2024,NY02,3.0,717387,12,complete
2024,NY02,3.0,717398,12,complete
2024,NY02,3.0,717411,12,complete
2024,NY02,3.0,717428,12,complete
2024,NY02,3.0,717431,12,complete
2024,NY02,3.0,717432,12,complete
2024,NY02,3.0,717437,8,complete
2024,NY02,3.0,717438,12,complete
2024,NY02,3.0,717443,8,complete
2024,NY02,3.0,717446,12,complete
2024,NY02,3.0,717452,8,complete
2024,NY02,3.0,717455,12,complete
2024,NY02,3.0,717464,8,complete
2024,NY02,3.0,717473,12,complete
2024,NY02,3.0,717477,12,complete
2024,NY02,3.0,717483,12,complete
2024,NY02,3.0,717486,8,complete
2024,NY02,3.0,717489,12,complete
2024,NY02,3.0,717497,12,complete
2024,NY02,3.0,717500,12,complete
2024,NY02,3.0,717503,12,complete
2024,NY02,3.0,plot_100_subplot_3_oat,8,complete
2024,NY02,3.0,plot_101_subplot_1_oat,12,complete
2024,NY02,3.0,plot_102_subplot_1_oat,8,complete
2024,NY02,3.0,plot_103_subplot_3_oat,12,complete
2024,NY02,3.0,plot_104_subplot_3_oat,8,complete
2024,NY02,3.0,plot_105_subplot_3_oat,12,complete
2024,NY02,3.0,plot_106_subplot_3_oat,8,complete
2024,NY02,3.0,plot_107_subplot_1_oat,8,complete
2024,NY02,3.0,plot_108_subplot_1_oat,12,complete
2024,NY02,3.0,plot_109_subplot_1_oat,8,complete
2024,NY02,3.0,plot_110_subplot_1_oat,12,complete
2024,NY02,3.0,plot_119_subplot_1_oat,8,complete
2024,NY02,3.0,plot_120_subplot_1_oat,12,complete
2024,NY02,3.0,plot_129_subplot_1_oat,12,complete
2024,NY02,3.0,plot_130_subplot_1_oat,8,complete
2024,NY02,3.0,plot_139_subplot_1_oat,12,complete
2024,NY02,3.0,plot_13_subplot_3_oat,8,complete
2024,NY02,3.0,plot_140_subplot_1_oat,12,complete
2024,NY02,3.0,plot_143_subplot_1_oat,8,complete
2024,NY02,3.0,plot_144_subplot_1_oat,12,complete
2024,NY02,3.0,plot_145_subplot_3_oat,12,complete
2024,NY02,3.0,plot_146_subplot_3_oat,8,complete
2024,NY02,3.0,plot_147_subplot_3_oat,8,complete
2024,NY02,3.0,plot_148_subplot_3_oat,12,complete
2024,NY02,3.0,plot_149_subplot_3_oat,2,image
2024,NY02,3.0,plot_149subplot_3_oat_,4,biomass
2024,NY02,3.0,plot_14_subplot_3_oat,12,complete
2024,NY02,3.0,plot_150_subplot_3_oat,12,complete
2024,NY02,3.0,plot_151_subplot_3_oat,8,complete
2024,NY02,3.0,plot_152_subplot_3_oat,12,complete
2024,NY02,3.0,plot_153_subplot_1_oat,12,complete
2024,NY02,3.0,plot_154_subplot_1_oat,8,complete
2024,NY02,3.0,plot_157_subplot_1_oat,12,complete
2024,NY02,3.0,plot_158_subplot_1_oat,12,complete
2024,NY02,3.0,plot_15_subplot_3_oat,12,complete
2024,NY02,3.0,plot_163_subplot_1_oat,12,complete
2024,NY02,3.0,plot_164_subplot_1_oat,8,complete
2024,NY02,3.0,plot_167_subplot_3_oat,8,complete
2024,NY02,3.0,plot_168_subplot_3_oat,8,complete
2024,NY02,3.0,plot_16_subplot_3_oat,8,complete
2024,NY02,3.0,plot_173_subplot_3_oat,8,complete
2024,NY02,3.0,plot_174_subplot_3_oat,3,image
2024,NY02,3.0,plot_174_subplot_3_pea,4,biomass
2024,NY02,3.0,plot_175_subplot_3_oat,12,complete
2024,NY02,3.0,plot_176_subplot_3_oat,8,complete
2024,NY02,3.0,plot_177_subplot_1_oat,8,complete
2024,NY02,3.0,plot_178_subplot_1_oat,8,complete
2024,NY02,3.0,plot_189_subplot_1_oat,12,complete
2024,NY02,3.0,plot_190_subplot_1_oat,8,complete
2024,NY02,3.0,plot_195_subplot_1_oat,12,complete
2024,NY02,3.0,plot_196_subplot_1_oat,8,complete
2024,NY02,3.0,plot_197_subplot_3_oat,2,image
2024,NY02,3.0,plot_198_subplot_3_oat,8,complete
2024,NY02,3.0,plot_199_subplot_3_oat,8,complete
2024,NY02,3.0,plot_1_subplot_1_oat,16,complete
2024,NY02,3.0,plot_200_subplot_3_oat,8,complete
2024,NY02,3.0,plot_21_subplot_1_oat,8,complete
2024,NY02,3.0,plot_22_subplot_1_oat,8,complete
2024,NY02,3.0,plot_23_subplot_1_oat,8,complete
2024,NY02,3.0,plot_24_subplot_1_oat,12,complete
2024,NY02,3.0,plot_25_subplot_3_oat,12,complete
2024,NY02,3.0,plot_26_subplot_3_oat,8,complete
2024,NY02,3.0,plot_29_subplot_3_oat,12,complete
2024,NY02,3.0,plot_2_subplot_1_oat,12,complete
2024,NY02,3.0,plot_30_subplot_3_oat,8,complete
2024,NY02,3.0,plot_31_subplot_1_oat,12,complete
2024,NY02,3.0,plot_32_subplot_1_oat,8,complete
2024,NY02,3.0,plot_33_subplot_1_oat,8,complete
2024,NY02,3.0,plot_34_subplot_1_oat,12,complete
2024,NY02,3.0,plot_37_subplot_1_oat,8,complete
2024,NY02,3.0,plot_38_subplot_1_oat,12,complete
2024,NY02,3.0,plot_39_subplot_3_oat,8,complete
2024,NY02,3.0,plot_40_subplot_3_oat,12,complete
2024,NY02,3.0,plot_43_subplot_1_oat,12,complete
2024,NY02,3.0,plot_44_subplot_1_oat,8,complete
2024,NY02,3.0,plot_45_subplot_1_oat,12,complete
2024,NY02,3.0,plot_46_subplot_1_oat,8,complete
2024,NY02,3.0,plot_59_subplot_3_oat,8,complete
2024,NY02,3.0,plot_5_subplot_3_oat,8,complete
2024,NY02,3.0,plot_60_subplot_3_oat,12,complete
2024,NY02,3.0,plot_63_subplot_3_oat,8,complete
2024,NY02,3.0,plot_64_subplot_3_oat,12,complete
2024,NY02,3.0,plot_65_subplot_1_oat,12,complete
2024,NY02,3.0,plot_66_subplot_1_oat,8,complete
2024,NY02,3.0,plot_67_subplot_3_oat,12,complete
2024,NY02,3.0,plot_68_subplot_3_oat,8,complete
2024,NY02,3.0,plot_69_subplot_1_oat,12,complete
2024,NY02,3.0,plot_6_subplot_3_oat,12,complete
2024,NY02,3.0,plot_70_subplot_1_oat,8,complete
2024,NY02,3.0,plot_73_subplot_1_oat,8,complete
2024,NY02,3.0,plot_74_subplot_1_oat,12,complete
2024,NY02,3.0,plot_75_subplot_3_oat,8,complete
2024,NY02,3.0,plot_76_subplot_3_oat,12,complete
2024,NY02,3.0,plot_77_subplot_1_oat,12,complete
2024,NY02,3.0,plot_78_subplot_1_oat,8,complete
2024,NY02,3.0,plot_79_subplot_1_oat,12,complete
2024,NY02,3.0,plot_80_subplot_1_oat,8,complete
2024,NY02,3.0,plot_85_subplot_1_oat,12,complete
2024,NY02,3.0,plot_86_subplot_1_oat,8,complete
2024,NY02,3.0,plot_97_subplot_3_oat,12,complete
2024,NY02,3.0,plot_98_subplot_3_oat,8,complete
2024,NY02,3.0,plot_99_subplot_3_oat,12,complete
