"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","intercropGermplasmDbId","intercropGermplasmName","germplasmEntryNumber","Above ground dry biomass - g|timepoint 1|COMP:0000110","Above ground dry biomass - g|timepoint 2|COMP:0000111","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Weed above ground dry biomass - g|timepoint 3|COMP:0000128","notes"
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741910","B4I_2025_PM3D_NY_01_subplot_1","1","1","1","1","1","test","","","","","0","","","33.9","","","0.3","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741911","B4I_2025_PM3D_NY_01_subplot_2","1","1","1","1","1","test","","","","","","0","","","364.9","","","23.9","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741912","B4I_2025_PM3D_NY_01_subplot_3","1","1","1","1","1","test","","","","","","","0","","","314.8","","","77.0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741859","B4I_2025_PM3D_NY_02_subplot_1","1","1","2","2","1","test","","","","","","","418.1","","","122.6","","","35.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741860","B4I_2025_PM3D_NY_02_subplot_2","1","1","2","2","1","test","","","","","","251.6","","","59","","","6.1","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741861","B4I_2025_PM3D_NY_02_subplot_3","1","1","2","2","1","test","","","","","27.1","","","7.1","","","1.1","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741886","B4I_2025_PM3D_NY_03_subplot_1","1","1","3","3","1","test","","","","","53.8","","","0","","","0.4","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741887","B4I_2025_PM3D_NY_03_subplot_2","1","1","3","3","1","test","","","","","","","431.3","","","0","","","8.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741888","B4I_2025_PM3D_NY_03_subplot_3","1","1","3","3","1","test","","","","","","271.3","","","0","","","16.3","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741895","B4I_2025_PM3D_NY_04_subplot_1","1","1","4","4","1","test","","","","","49.6","","","0","","","1.3","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741896","B4I_2025_PM3D_NY_04_subplot_2","1","1","4","4","1","test","","","","","","245.4","","","0","","","3","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741897","B4I_2025_PM3D_NY_04_subplot_3","1","1","4","4","1","test","","","","","","","439.6","","","0","","","12.8",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741892","B4I_2025_PM3D_NY_05_subplot_1","1","1","5","5","1","test","","","","","","","330.8","","","68.2","","","16.5",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741893","B4I_2025_PM3D_NY_05_subplot_2","1","1","5","5","1","test","","","","","","230.1","","","38.4","","","6.1","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741894","B4I_2025_PM3D_NY_05_subplot_3","1","1","5","5","1","test","","","","","16","","","7.9","","","2","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741898","B4I_2025_PM3D_NY_06_subplot_1","1","1","6","6","1","test","","","","","0","","","32.1","","","4.7","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741899","B4I_2025_PM3D_NY_06_subplot_2","1","1","6","6","1","test","","","","","","0","","","162.4","","","8.1","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741900","B4I_2025_PM3D_NY_06_subplot_3","1","1","6","6","1","test","","","","","","","0","","","176.7","","","33.1",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741865","B4I_2025_PM3D_NY_07_subplot_1","1","1","7","7","1","test","","","","","38","","","9.8","","","4.3","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741866","B4I_2025_PM3D_NY_07_subplot_2","1","1","7","7","1","test","","","","","","315.7","","","22.5","","","8.7","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741867","B4I_2025_PM3D_NY_07_subplot_3","1","1","7","7","1","test","","","","","","","358.5","","","2.4","","","2.9",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741883","B4I_2025_PM3D_NY_08_subplot_1","1","1","8","8","1","test","","","","","","0","","","117.1","","","5","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741884","B4I_2025_PM3D_NY_08_subplot_2","1","1","8","8","1","test","","","","","","","0","","","226.8","","","8.4",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741885","B4I_2025_PM3D_NY_08_subplot_3","1","1","8","8","1","test","","","","","0","","","11.6","","","4.4","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741871","B4I_2025_PM3D_NY_09_subplot_1","1","1","9","9","1","test","","","","","","205.4","","","0","","","2.2","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741872","B4I_2025_PM3D_NY_09_subplot_2","1","1","9","9","1","test","","","","","","","355.3","","","0","","","2.3",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741873","B4I_2025_PM3D_NY_09_subplot_3","1","1","9","9","1","test","","","","","41","","","0","","","1.3","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741913","B4I_2025_PM3D_NY_10_subplot_1","1","1","10","10","1","test","","","","","","","254.9","","","89.2","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741914","B4I_2025_PM3D_NY_10_subplot_2","1","1","10","10","1","test","","","","","","169.6","","","74.5","","","0.9","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741915","B4I_2025_PM3D_NY_10_subplot_3","1","1","10","10","1","test","","","","","26.3","","","9.2","","","0","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741889","B4I_2025_PM3D_NY_11_subplot_1","1","1","11","1","2","test","","","","","","","0","","","392.4","","","15.9",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741890","B4I_2025_PM3D_NY_11_subplot_2","1","1","11","1","2","test","","","","","","0","","","245.5","","","8.4","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741891","B4I_2025_PM3D_NY_11_subplot_3","1","1","11","1","2","test","","","","","0","","","15.7","","","0.9","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741901","B4I_2025_PM3D_NY_12_subplot_1","1","1","12","2","2","test","","","","","20.8","","","26.4","","","1.2","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741902","B4I_2025_PM3D_NY_12_subplot_2","1","1","12","2","2","test","","","","","","","502.6","","","71.8","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741903","B4I_2025_PM3D_NY_12_subplot_3","1","1","12","2","2","test","","","","","","242.3","","","52.7","","","0.4","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741877","B4I_2025_PM3D_NY_13_subplot_1","1","1","13","3","2","test","","","","","32.7","","","18.6","","","1.8","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741878","B4I_2025_PM3D_NY_13_subplot_2","1","1","13","3","2","test","","","","","","","329.4","","","228.3","","","1.6",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741879","B4I_2025_PM3D_NY_13_subplot_3","1","1","13","3","2","test","","","","","","171.2","","","20.4","","","1.1","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741862","B4I_2025_PM3D_NY_14_subplot_1","1","1","14","4","2","test","","","","","","","344.3","","","136.6","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741863","B4I_2025_PM3D_NY_14_subplot_2","1","1","14","4","2","test","","","","","37.8","","","14.7","","","1.4","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737914","ND Spilde","","subplot","741864","B4I_2025_PM3D_NY_14_subplot_3","1","1","14","4","2","test","","","","","","149.2","","","83.1","","","2.2","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741874","B4I_2025_PM3D_NY_15_subplot_1","1","1","15","5","2","test","","","","","","","0","","","549.9","","","4.1",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741875","B4I_2025_PM3D_NY_15_subplot_2","1","1","15","5","2","test","","","","","0","","","41.4","","","0","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","703605","NO_OATS_PLANTED","","subplot","741876","B4I_2025_PM3D_NY_15_subplot_3","1","1","15","5","2","test","","","","","","0","","","136.5","","","7.5","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741907","B4I_2025_PM3D_NY_16_subplot_1","1","1","16","6","2","test","","","","","","","570.0","","","0","","","0.7",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741908","B4I_2025_PM3D_NY_16_subplot_2","1","1","16","6","2","test","","","","","68.1","","","0","","","0.6","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","737913","ND190393","","subplot","741909","B4I_2025_PM3D_NY_16_subplot_3","1","1","16","6","2","test","","","","","","172.8","","","0","","","2","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741868","B4I_2025_PM3D_NY_17_subplot_1","1","1","17","7","2","test","","","","","","","302.9","","","152.2","","","1.0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741869","B4I_2025_PM3D_NY_17_subplot_2","1","1","17","7","2","test","","","","","","96.6","","","146.2","","","0","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741870","B4I_2025_PM3D_NY_17_subplot_3","1","1","17","7","2","test","","","","","13.6","","","6.2","","","0","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741904","B4I_2025_PM3D_NY_18_subplot_1","1","1","18","8","2","test","","","","","","149.5","","","100.1","","","0.3","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741905","B4I_2025_PM3D_NY_18_subplot_2","1","1","18","8","2","test","","","","","15","","","23.6","","","0","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732538","SD Momentum","SDMomentum","subplot","741906","B4I_2025_PM3D_NY_18_subplot_3","1","1","18","8","2","test","","","","","","","381.7","","","116.3","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741880","B4I_2025_PM3D_NY_19_subplot_1","1","1","19","9","2","test","","","","","","","249.0","","","209.1","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741881","B4I_2025_PM3D_NY_19_subplot_2","1","1","19","9","2","test","","","","","22.1","","","15.5","","","0","","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","202026","IL17-1704","","subplot","741882","B4I_2025_PM3D_NY_19_subplot_3","1","1","19","9","2","test","","","","","","245.6","","","54.7","","","0.8","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741856","B4I_2025_PM3D_NY_20_subplot_1","1","1","20","10","2","test","","","","","","455.9","","","0","","","0","",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741857","B4I_2025_PM3D_NY_20_subplot_2","1","1","20","10","2","test","","","","","","","397.0","","","0","","","0",""
"2025","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6830","B4I_2025_PM3D_NY","B4I 2025 PM3D biomass sampling plots","CRD","","","","","","","","82","Ithaca, NY","732546","ND210038","ND210038","subplot","741858","B4I_2025_PM3D_NY_20_subplot_3","1","1","20","10","2","test","","","","","40.8","","","0","","","0","","",""
