consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
1,IL20-6928,20,6928,6,60,400,2000,1,1,IL20-6928,AL,400,1  ( AL--1 ) Border,IL20-6928,BORDER_B4i-26_Oat ~400 g
1,IL20-6928,20,6928,6,60,400,2000,2,1,IL20-6928,IA,400,2  ( IA--1 ) Border,IL20-6928,BORDER_B4i-26_Oat ~400 g
1,IL20-6928,20,6928,6,60,400,2000,3,1,IL20-6928,IL,400,3  ( IL--1 ) Border,IL20-6928,BORDER_B4i-26_Oat ~400 g
1,IL20-6928,20,6928,6,60,400,2000,4,1,IL20-6928,ND,400,4  ( ND--1 ) Border,IL20-6928,BORDER_B4i-26_Oat ~400 g
1,IL20-6928,20,6928,6,60,400,2000,5,1,IL20-6928,NY,400,5  ( NY--1 ) Border,IL20-6928,BORDER_B4i-26_Oat ~400 g
2,IL20-7841,20,7841,6,60,400,2000,6,2,IL20-7841,AL,400,6  ( AL--2 ) Border,IL20-7841,BORDER_B4i-26_Oat ~400 g
2,IL20-7841,20,7841,6,60,400,2000,7,2,IL20-7841,IA,400,7  ( IA--2 ) Border,IL20-7841,BORDER_B4i-26_Oat ~400 g
2,IL20-7841,20,7841,6,60,400,2000,8,2,IL20-7841,IL,400,8  ( IL--2 ) Border,IL20-7841,BORDER_B4i-26_Oat ~400 g
2,IL20-7841,20,7841,6,60,400,2000,9,2,IL20-7841,ND,400,9  ( ND--2 ) Border,IL20-7841,BORDER_B4i-26_Oat ~400 g
2,IL20-7841,20,7841,6,60,400,2000,10,2,IL20-7841,NY,400,10  ( NY--2 ) Border,IL20-7841,BORDER_B4i-26_Oat ~400 g
3,IL21-3542,21,3542,6,60,400,2000,11,3,IL21-3542,AL,400,11  ( AL--3 ) Border,IL21-3542,BORDER_B4i-26_Oat ~400 g
3,IL21-3542,21,3542,6,60,400,2000,12,3,IL21-3542,IA,400,12  ( IA--3 ) Border,IL21-3542,BORDER_B4i-26_Oat ~400 g
3,IL21-3542,21,3542,6,60,400,2000,13,3,IL21-3542,IL,400,13  ( IL--3 ) Border,IL21-3542,BORDER_B4i-26_Oat ~400 g
3,IL21-3542,21,3542,6,60,400,2000,14,3,IL21-3542,ND,400,14  ( ND--3 ) Border,IL21-3542,BORDER_B4i-26_Oat ~400 g
3,IL21-3542,21,3542,6,60,400,2000,15,3,IL21-3542,NY,400,15  ( NY--3 ) Border,IL21-3542,BORDER_B4i-26_Oat ~400 g
4,IL21-4039,21,4039,6,60,400,2000,16,4,IL21-4039,AL,400,16  ( AL--4 ) Border,IL21-4039,BORDER_B4i-26_Oat ~400 g
4,IL21-4039,21,4039,6,60,400,2000,17,4,IL21-4039,IA,400,17  ( IA--4 ) Border,IL21-4039,BORDER_B4i-26_Oat ~400 g
4,IL21-4039,21,4039,6,60,400,2000,18,4,IL21-4039,IL,400,18  ( IL--4 ) Border,IL21-4039,BORDER_B4i-26_Oat ~400 g
4,IL21-4039,21,4039,6,60,400,2000,19,4,IL21-4039,ND,400,19  ( ND--4 ) Border,IL21-4039,BORDER_B4i-26_Oat ~400 g
4,IL21-4039,21,4039,6,60,400,2000,20,4,IL21-4039,NY,400,20  ( NY--4 ) Border,IL21-4039,BORDER_B4i-26_Oat ~400 g
5,REINS,REINS,,6,60,400,2000,21,5,REINS,AL,400,21  ( AL--5 ) Border,REINS,BORDER_B4i-26_Oat ~400 g
5,REINS,REINS,,6,60,400,2000,22,5,REINS,IA,400,22  ( IA--5 ) Border,REINS,BORDER_B4i-26_Oat ~400 g
5,REINS,REINS,,6,60,400,2000,23,5,REINS,IL,400,23  ( IL--5 ) Border,REINS,BORDER_B4i-26_Oat ~400 g
5,REINS,REINS,,6,60,400,2000,24,5,REINS,ND,400,24  ( ND--5 ) Border,REINS,BORDER_B4i-26_Oat ~400 g
5,REINS,REINS,,6,60,400,2000,25,5,REINS,NY,400,25  ( NY--5 ) Border,REINS,BORDER_B4i-26_Oat ~400 g