"","pea_id","AL","IA","IL","ND","NY"
"1","AGASSIZ",1,2,1,1,1
"2","ARCADIA",1,1,2,2,1
"3","CDC INCA",2,2,2,1,2
"4","GREENWOOD",2,1,2,2,2
"5","NDP140295G",1,0,1,0,0
"6","NDP150221G",4,3,3,3,2
"7","NDP150232Y",1,1,1,0,1
"8","NDP150476G",1,0,0,0,1
"9","NDP170004G",1,2,1,2,2
"10","NDP170008G",1,0,0,1,0
"11","NDP170011G",1,0,1,1,0
"12","NDP170028G",1,1,1,0,0
"13","NDP170054Y",1,0,1,1,0
"14","NDP170056G",1,0,0,1,1
"15","NDP170094Y",1,0,1,0,0
"16","NDP170322Y",1,0,0,1,1
"17","NDP170328G",1,0,1,1,0
"18","NDP180014G",3,3,2,3,3
"19","NDP180030G",2,2,2,3,4
"20","NDP180042G",3,2,4,2,3
"21","NDP180051G",1,4,0,2,0
"22","NDP180052G",1,1,2,1,0
"23","NDP180059Y",1,1,1,1,0
"24","NDP180072Y",2,2,2,2,3
"25","NDP180078G",1,2,2,1,1
"26","NDP180080Y",1,2,2,1,1
"27","NDP180085G",2,1,2,1,0
"28","NDP180091G",2,3,2,2,2
"29","NDP180093G",2,2,2,2,3
"30","NDP180099G",2,2,1,1,1
"31","NDP180101G",2,2,2,2,2
"32","NDP180105Y",2,3,2,3,2
"33","NDP250002G",3,3,2,2,3
"34","NDP250004Y",2,2,1,1,1
"35","NDP250006Y",1,1,1,1,1
"36","NDP250007Y",1,1,0,1,1
"37","NDP250008Y",2,2,3,3,3
"38","NDP250009Y",2,2,2,1,2
"39","NDP250010Y",1,1,1,1,2
"40","NDP250015G",1,3,3,2,1
"41","NDP250016G",3,2,3,3,2
"42","NDP250017G",1,1,0,1,2
"43","NDP250018G",1,2,2,2,1
"44","NDP250020G",3,3,3,3,2
"45","NDP250022Y",2,3,3,3,1
"46","NDP250024Y",1,1,2,1,1
"47","NDP250025Y",2,3,2,3,2
"48","NDP250036Y",1,0,0,0,1
"49","NDP250038Y",2,1,1,1,0
"50","NDP250039Y",2,1,1,1,2
"51","NDP250045Y",3,3,3,2,2
"52","NDP250048Y",1,1,1,1,1
"53","NDP250051Y",1,0,1,0,1
"54","NDP250057G",2,1,3,1,2
"55","NDP250065Y",1,0,0,0,0
"56","NDP250066Y",1,0,0,0,0
"57","NDP250067Y",1,0,0,1,0
"58","NDP250076Y",1,0,1,1,1
"59","NDP250080Y",1,1,2,1,0
"60","NDP250086Y",1,0,0,1,0
"61","NDP250104G",1,0,0,0,0
"62","NDP250115G",2,2,2,2,2
"63","NDP250119G",2,2,2,1,2
"64","NDP250123Y",1,0,1,1,1
"65","NDP250129Y",1,0,0,0,0
"66","NDP250137G",1,1,0,0,1
"67","NDP250148G",1,0,1,1,1
"68","NDP250150G",1,0,0,0,0
"69","NDP250158Y",1,1,1,1,1
"70","NDP250159Y",2,2,2,2,2
"71","NDP250160Y",1,1,1,0,1
"72","NDP250163Y",1,1,0,0,0
"73","NDP250164Y",3,2,3,3,4
"74","NDP250165Y",2,1,2,2,2
"75","NDP250167Y",1,2,2,1,2
"76","NDP250169Y",1,1,0,0,0
"77","NDP250178Y",2,2,2,2,2
"78","NDP250179Y",1,2,1,1,2
"79","NDP250190Y",2,2,2,2,3
"80","NDP250192Y",3,4,4,4,4
"81","NDP250193Y",1,1,1,2,1
"82","NDP250194Y",2,2,2,2,2
"83","NDP250195Y",1,1,2,0,2
"84","NDP250196Y",2,2,1,1,1
"85","NDP250197Y",2,1,2,2,3
"86","NDP250198Y",3,2,2,3,3
"87","NDP250199Y",3,4,2,3,3
"88","NDP250200Y",2,1,1,1,2
"89","NDP250201Y",2,1,2,2,2
"90","NDP250202Y",3,3,3,2,2
"91","NDP250204Y",3,1,2,2,3
"92","NDP250205Y",2,2,3,3,2
"93","NDP250206Y",1,2,2,1,2
"94","NDP250207G",1,1,1,1,1
"95","NDP250209G",2,3,3,2,2
"96","NDP250210G",2,2,2,1,2
"97","NDP250214Y",2,1,2,2,2
"98","NDP250215Y",3,3,3,3,3
"99","NDP250216Y",1,2,2,3,3
"100","NDP250217Y",1,1,6,1,0
"101","NDP250218Y",2,1,1,1,1
"102","NDP250219Y",2,2,1,1,2
"103","NDP250220Y",2,1,1,2,2
"104","NDP250221Y",3,2,2,1,2
"105","NDP250222G",2,2,3,3,2
"106","NDP250223G",2,2,2,2,2
"107","NDP250224G",3,3,3,2,2
"108","NDP250225G",2,1,2,2,2
"109","NDP250226G",2,3,1,1,3
"110","NDP250227G",2,2,3,2,2
"111","NDP250228G",3,1,2,2,5
"112","NDP250229G",2,2,1,2,2
"113","NDP250234G",1,1,0,2,0
"114","NDP250235G",1,1,1,3,2
"115","NDP250236G",1,2,1,2,2
"116","NDP250237G",3,3,3,2,2
"117","NDP250238G",1,2,2,2,2
"118","NDP250239G",2,3,2,2,2
"119","NDP250240G",3,3,3,3,3
"120","NDP250241G",2,2,3,2,3
"121","NDP250242G",3,2,3,3,3
"122","NDP250243G",3,4,3,2,3
"123","NDP250244G",2,2,1,1,2
"124","NDP250245G",1,1,2,1,1
"125","NDP250246G",1,1,0,1,2
"126","NDP250248G",1,1,2,1,2
"127","NDP250249G",1,2,2,1,2
"128","NDP250250Y",1,2,2,2,1
"129","NDP250251Y",2,2,3,3,2
"130","NDP250252Y",1,1,2,3,1
"131","NDP250253Y",2,1,2,1,1
"132","NDP250254Y",3,2,3,3,2
"133","NDP250255Y",3,2,2,2,1
"134","NDP250257Y",3,3,3,3,2
"135","NDP250258Y",3,2,3,2,3
"136","NDP250259G",1,1,1,2,2
"137","NDP250260G",2,2,1,1,2
"138","NDP250261G",2,3,2,3,3
"139","NDP250263G",3,3,2,2,2
"140","NDP250265G",1,1,1,2,1
"141","NDP250266G",1,2,1,1,1
"142","NDP250267G",2,1,2,4,1
"143","NDP250268G",2,2,2,2,2
"144","NDP250269G",3,1,2,1,2
"145","NDP250270G",3,2,3,2,2
"146","NDP250271G",1,2,1,2,3
"147","NDP250272G",3,2,2,2,2
"148","NDP250273G",1,2,1,2,2
"149","NDP250274G",1,1,2,2,2
"150","NDP250275G",1,1,1,2,2
"151","NDP250276G",3,3,3,3,3
"152","NDP250277G",1,1,0,0,1
"153","NDP250278G",2,3,2,1,2
"154","NDP250279G",4,2,2,4,3
"155","NDP250280G",2,2,3,3,4
"156","NDP250281G",2,1,1,1,1
"157","NDP250282G",3,3,4,3,3
"158","NDP250283G",2,2,2,1,1
"159","NDP250284G",1,1,1,2,1
"160","NDP250285G",2,3,2,2,2
"161","NDP250286G",1,0,1,1,2
"162","NDP250288Y",1,2,1,0,1
"163","NDP250291Y",1,1,1,2,1
"164","NDP250292Y",2,2,2,2,2
"165","NDP250293Y",2,2,1,2,2
"166","NDP250294Y",2,2,2,2,2
"167","NDP250295Y",2,2,2,2,1
"168","NDP250296Y",1,1,1,0,1
"169","NDP250297G",1,1,2,2,2
"170","NDP250298G",2,2,1,2,1
"171","NDP250300G",2,1,1,1,1
"172","NDP250301G",2,2,2,2,2
"173","NDP250302G",2,1,1,2,2
"174","NDP250304G",1,2,2,2,3
"175","NDP250305G",1,1,0,1,1
"176","NDP250306G",1,1,1,1,1
"177","NDP250307G",3,3,2,2,3
"178","NDP250310G",1,1,1,2,1
"179","NDP250312G",2,1,2,3,2
"180","NDP250313G",2,1,1,2,2
"181","NDP250315Y",2,2,1,2,2
"182","NDP250316Y",4,3,4,3,2
"183","NDP250317Y",2,2,1,1,2
"184","NDP250318Y",2,2,1,2,2
"185","NDP250320G",2,1,1,2,1
"186","NDP250323G",2,1,1,2,1
"187","NDP250324G",1,1,1,1,1
"188","NDP250325G",3,3,3,4,3
"189","NDP250326G",1,2,1,1,2
"190","NDP250327G",2,1,2,1,1
"191","NDP250329G",1,2,2,1,2
"192","NDP250330G",1,2,1,2,1
"193","NDP250332G",2,2,3,2,1
"194","NDP250333G",2,1,3,1,2
"195","NDP250336G",3,3,3,3,2
"196","NDP250337G",1,1,2,2,0
"197","NDP250338G",1,1,2,2,1
"198","NDP250339G",2,1,2,2,2
"199","NDP250340G",1,2,2,1,3
"200","NDP250341G",1,3,2,2,2
"201","NDP250342G",2,2,1,2,1
"202","NDP250344G",2,1,1,2,1
"203","NDP250345G",2,3,2,2,2
"204","NDP250346G",2,1,1,1,1
"205","NDP250347G",2,2,2,1,2
"206","NDP250348G",1,2,1,1,1
"207","NDP250349G",1,1,2,1,1
"208","NDP250350G",2,2,2,2,2
"209","NDP250351G",1,1,1,3,1
"210","NDP250352G",1,1,2,1,1
"211","NDP250354G",1,1,1,2,2
"212","NDP250357G",1,2,2,1,1
"213","NDP250358G",2,2,1,1,1
"214","NDP250359G",1,1,1,2,2
"215","NDP250360G",1,2,1,2,1
"216","NDP250361G",1,1,1,1,2
"217","NDP250362G",1,2,3,1,2
"218","NDP250363G",2,1,1,2,1
"219","NDP250366G",1,1,1,1,1
"220","NDP250368G",1,2,1,1,2
"221","NDP250369G",2,2,2,2,1
"222","NDP250370G",2,1,1,1,1
"223","NDP250371G",1,1,1,1,2
"224","NDP250372G",2,1,1,1,1
"225","NDP250373G",1,2,2,2,1
"226","NDP250374Y",1,2,2,2,1
"227","NDP250375Y",1,0,0,0,1
"228","NDP250377G",3,2,2,2,1
"229","NDP250378G",2,2,0,2,2
"230","NDP250379G",1,1,1,1,1
"231","NDP250380G",2,2,2,2,2
"232","NDP250382G",1,0,1,2,1
"233","NDP250383G",1,1,1,1,2
"234","NDP250385G",1,2,1,1,1
"235","NDP250386G",1,1,0,0,1
"236","CDC AMARILLO",0,1,1,1,0
"237","ND VICTORY",0,1,0,1,0
"238","NDP140510Y",0,1,0,0,1
"239","NDP150106G",0,1,0,0,0
"240","NDP150338Y",0,1,1,1,1
"241","NDP160153Y",0,1,0,0,0
"242","NDP170012G",0,1,0,0,0
"243","NDP170031G",0,1,0,0,1
"244","NDP170151Y",0,1,0,1,1
"245","NDP170156Y",0,1,1,1,0
"246","NDP170181Y",0,1,0,1,1
"247","NDP250059Y",0,1,1,1,1
"248","NDP250070Y",0,1,0,1,0
"249","NDP250084Y",0,1,1,0,1
"250","NDP250089Y",0,1,0,0,1
"251","NDP250099Y",0,1,0,0,0
"252","NDP250138G",0,1,0,0,0
"253","NDP250141G",0,1,1,1,1
"254","NDP250170Y",0,1,0,0,0
"255","NDP250203Y",0,1,1,0,2
"256","NDP250247G",0,2,2,2,1
"257","NDP250343G",0,2,2,1,1
"258","NDP250367G",0,1,0,1,1
"259","NDP170185Y",0,0,1,0,0
"260","NDP250053G",0,0,1,0,0
"261","NDP250107G",0,0,1,0,0
"262","NDP250108G",0,0,1,0,0
"263","NDP250122Y",0,0,1,0,0
"264","NDP250136G",0,0,1,0,0
"265","NDP250157Y",0,0,1,0,0
"266","NDP250177Y",0,0,1,1,1
"267","NDP170161Y",0,0,0,1,0
"268","NDP170182Y",0,0,0,1,0
"269","NDP170336G",0,0,0,1,0
"270","NDP250030Y",0,0,0,1,0
"271","NDP250079Y",0,0,0,1,0
"272","NDP250153Y",0,0,0,1,0
"273","NDP160034Y",0,0,0,0,1
"274","NDP170001G",0,0,0,0,1
"275","NDP170017G",0,0,0,0,1
"276","NDP250073Y",0,0,0,0,1
"277","NDP250121Y",0,0,0,0,1
"278","NDP250172Y",0,0,0,0,1
