"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
535,"IL23-1859",1,24,1,"AL",192
536,"IL23-1859",2,72,3,"IA",192
537,"IL23-1859",3,48,2,"IL",192
538,"IL23-1859",5,24,1,"NY",192
539,"IL23-1947",1,24,1,"AL",193
540,"IL23-1947",4,24,1,"ND",193
541,"IL23-1947",5,24,1,"NY",193
542,"IL23-1959",1,24,1,"AL",194
543,"IL23-1959",2,72,3,"IA",194
544,"IL23-1959",3,24,1,"IL",194
545,"IL23-1959",4,24,1,"ND",194
546,"IL23-2010",1,24,1,"AL",195
547,"IL23-2010",2,48,2,"IA",195
548,"IL23-2010",3,24,1,"IL",195
549,"IL23-2021",1,72,3,"AL",196
550,"IL23-2021",2,24,1,"IA",196
551,"IL23-2021",3,24,1,"IL",196
552,"IL23-2021",4,24,1,"ND",196
553,"IL23-2021",5,24,1,"NY",196
554,"IL23-2034",1,48,2,"AL",197
555,"IL23-2034",2,24,1,"IA",197
556,"IL23-2034",3,72,3,"IL",197
557,"IL23-2034",4,24,1,"ND",197
558,"IL23-2034",5,24,1,"NY",197
559,"IL23-2134",1,48,2,"AL",198
560,"IL23-2134",2,72,3,"IA",198
561,"IL23-2134",3,24,1,"IL",198
562,"IL23-2134",5,24,1,"NY",198
563,"IL23-2154",3,24,1,"IL",199
564,"IL23-2154",4,48,2,"ND",199
565,"IL23-2235",2,72,3,"IA",200
566,"IL23-2235",3,72,3,"IL",200
567,"IL23-2235",5,48,2,"NY",200
568,"IL23-2246",1,96,4,"AL",201
569,"IL23-2246",3,24,1,"IL",201
570,"IL23-2246",4,48,2,"ND",201
571,"IL23-2253",1,24,1,"AL",202
572,"IL23-2253",2,48,2,"IA",202
573,"IL23-2253",3,72,3,"IL",202
574,"IL23-2253",4,48,2,"ND",202
575,"IL23-236",1,48,2,"AL",81
576,"IL23-236",2,24,1,"IA",81
577,"IL23-236",4,24,1,"ND",81
578,"IL23-236",5,72,3,"NY",81
579,"IL23-2371",1,24,1,"AL",203
580,"IL23-2371",2,96,4,"IA",203
581,"IL23-2371",5,24,1,"NY",203
582,"IL23-2443",1,48,2,"AL",204
583,"IL23-2443",2,48,2,"IA",204
584,"IL23-2443",3,168,7,"IL",204
585,"IL23-2443",4,24,1,"ND",204
586,"IL23-2443",5,24,1,"NY",204
587,"IL23-2458",1,24,1,"AL",205
588,"IL23-2458",2,48,2,"IA",205
589,"IL23-2458",4,24,1,"ND",205
590,"IL23-2458",5,48,2,"NY",205
591,"IL23-247",1,48,2,"AL",82
592,"IL23-247",2,120,5,"IA",82
593,"IL23-247",3,72,3,"IL",82
594,"IL23-247",4,48,2,"ND",82
595,"IL23-247",5,24,1,"NY",82
596,"IL23-250",1,24,1,"AL",83
597,"IL23-250",2,48,2,"IA",83
598,"IL23-250",3,72,3,"IL",83
599,"IL23-250",4,48,2,"ND",83
600,"IL23-250",5,48,2,"NY",83
601,"IL23-251",1,72,3,"AL",84
602,"IL23-251",2,48,2,"IA",84
603,"IL23-251",4,72,3,"ND",84
604,"IL23-2554",1,72,3,"AL",206
605,"IL23-2554",2,24,1,"IA",206
606,"IL23-2554",3,24,1,"IL",206
607,"IL23-2554",4,24,1,"ND",206
608,"IL23-259",1,24,1,"AL",85
609,"IL23-259",2,96,4,"IA",85
610,"IL23-259",3,24,1,"IL",85
611,"IL23-259",4,72,3,"ND",85
612,"IL23-259",5,144,6,"NY",85
613,"IL23-260",1,96,4,"AL",86
614,"IL23-260",2,48,2,"IA",86
615,"IL23-260",4,48,2,"ND",86
616,"IL23-260",5,24,1,"NY",86
617,"IL23-2625",1,24,1,"AL",207
618,"IL23-2625",3,24,1,"IL",207
619,"IL23-2625",4,48,2,"ND",207
620,"IL23-2625",5,72,3,"NY",207
621,"IL23-267",1,24,1,"AL",87
622,"IL23-267",2,48,2,"IA",87
623,"IL23-267",3,24,1,"IL",87
624,"IL23-267",5,24,1,"NY",87
625,"IL23-268",1,96,4,"AL",88
626,"IL23-268",2,48,2,"IA",88
627,"IL23-268",3,24,1,"IL",88
628,"IL23-268",4,72,3,"ND",88
629,"IL23-271",1,24,1,"AL",89
630,"IL23-271",2,48,2,"IA",89
631,"IL23-271",3,72,3,"IL",89
632,"IL23-271",4,72,3,"ND",89
633,"IL23-271",5,48,2,"NY",89
634,"IL23-2751",1,24,1,"AL",208
635,"IL23-2751",2,24,1,"IA",208
636,"IL23-2751",3,48,2,"IL",208
637,"IL23-2751",4,24,1,"ND",208
638,"IL23-2751",5,72,3,"NY",208
639,"IL23-2843",3,48,2,"IL",209
640,"IL23-2843",4,72,3,"ND",209
641,"IL23-2843",5,24,1,"NY",209
642,"IL23-2942",1,24,1,"AL",210
643,"IL23-2942",2,96,4,"IA",210
644,"IL23-2942",4,24,1,"ND",210
645,"IL23-2954",4,72,3,"ND",211
646,"IL23-2954",5,48,2,"NY",211
647,"IL23-2956",1,72,3,"AL",212
648,"IL23-2956",2,24,1,"IA",212
649,"IL23-2956",4,24,1,"ND",212
650,"IL23-2956",5,24,1,"NY",212
651,"IL23-2963",1,24,1,"AL",213
652,"IL23-2963",2,24,1,"IA",213
653,"IL23-2963",3,24,1,"IL",213
654,"IL23-2963",4,24,1,"ND",213
655,"IL23-3228",2,24,1,"IA",214
656,"IL23-3228",3,24,1,"IL",214
657,"IL23-3228",4,24,1,"ND",214
658,"IL23-3312",1,48,2,"AL",215
659,"IL23-3312",2,48,2,"IA",215
660,"IL23-3312",3,48,2,"IL",215
661,"IL23-3312",4,48,2,"ND",215
662,"IL23-3312",5,72,3,"NY",215
663,"IL23-3335",1,24,1,"AL",216
664,"IL23-3335",2,24,1,"IA",216
665,"IL23-3335",4,48,2,"ND",216
666,"IL23-3337",1,24,1,"AL",217
667,"IL23-3337",2,24,1,"IA",217
668,"IL23-3337",3,48,2,"IL",217
669,"IL23-3337",5,120,5,"NY",217
670,"IL23-3434",1,24,1,"AL",218
671,"IL23-3434",2,24,1,"IA",218
672,"IL23-3434",4,24,1,"ND",218
673,"IL23-3443",1,24,1,"AL",219
674,"IL23-3443",2,48,2,"IA",219
675,"IL23-3443",3,72,3,"IL",219
676,"IL23-3443",4,72,3,"ND",219
677,"IL23-3443",5,24,1,"NY",219
678,"IL23-3468",1,72,3,"AL",220
679,"IL23-3468",4,24,1,"ND",220
680,"IL23-3468",5,120,5,"NY",220
681,"IL23-3517",1,24,1,"AL",221
682,"IL23-3517",4,24,1,"ND",221
683,"IL23-3517",5,24,1,"NY",221
684,"IL23-3545",3,24,1,"IL",222
685,"IL23-3545",4,72,3,"ND",222
686,"IL23-3545",5,48,2,"NY",222
687,"IL23-3549",1,24,1,"AL",223
688,"IL23-3549",3,24,1,"IL",223
689,"IL23-3549",4,24,1,"ND",223
690,"IL23-3549",5,72,3,"NY",223
691,"IL23-3565",1,96,4,"AL",224
692,"IL23-3565",2,24,1,"IA",224
693,"IL23-3565",4,48,2,"ND",224
694,"IL23-3565",5,24,1,"NY",224
695,"IL23-3572",1,48,2,"AL",225
696,"IL23-3572",2,48,2,"IA",225
697,"IL23-3572",3,48,2,"IL",225
698,"IL23-3572",4,24,1,"ND",225
699,"IL23-3572",5,24,1,"NY",225
700,"IL23-3576",1,48,2,"AL",226
701,"IL23-3576",2,96,4,"IA",226
702,"IL23-3576",3,72,3,"IL",226
703,"IL23-3576",4,24,1,"ND",226
704,"IL23-3576",5,24,1,"NY",226
705,"IL23-360",1,24,1,"AL",90
706,"IL23-360",3,72,3,"IL",90
707,"IL23-360",4,72,3,"ND",90
708,"IL23-360",5,72,3,"NY",90
709,"IL23-3621",2,48,2,"IA",227
710,"IL23-3621",3,24,1,"IL",227
711,"IL23-3621",4,24,1,"ND",227
712,"IL23-3627",1,24,1,"AL",228
713,"IL23-3627",2,24,1,"IA",228
714,"IL23-3627",3,48,2,"IL",228
715,"IL23-3627",4,48,2,"ND",228
716,"IL23-3627",5,72,3,"NY",228
717,"IL23-3635",2,48,2,"IA",229
718,"IL23-3635",4,24,1,"ND",229
719,"IL23-3645",3,24,1,"IL",230
720,"IL23-3655",1,72,3,"AL",231
721,"IL23-3655",2,24,1,"IA",231
722,"IL23-3655",3,48,2,"IL",231
723,"IL23-3655",4,48,2,"ND",231
724,"IL23-3655",5,24,1,"NY",231
725,"IL23-3661",1,48,2,"AL",232
726,"IL23-3661",4,24,1,"ND",232
727,"IL23-3661",5,72,3,"NY",232
728,"IL23-3669",2,48,2,"IA",233
729,"IL23-3669",3,48,2,"IL",233
730,"IL23-3669",4,48,2,"ND",233
731,"IL23-3673",1,48,2,"AL",234
732,"IL23-3673",2,48,2,"IA",234
733,"IL23-3673",3,24,1,"IL",234
734,"IL23-3675",1,24,1,"AL",235
735,"IL23-3675",2,24,1,"IA",235
736,"IL23-3675",3,48,2,"IL",235
737,"IL23-3675",4,48,2,"ND",235
738,"IL23-3710",2,72,3,"IA",236
739,"IL23-3710",4,48,2,"ND",236
740,"IL23-3710",5,24,1,"NY",236
741,"IL23-3730",1,24,1,"AL",237
742,"IL23-3730",2,48,2,"IA",237
743,"IL23-3730",3,72,3,"IL",237
744,"IL23-3730",4,96,4,"ND",237
745,"IL23-3731",1,48,2,"AL",238
746,"IL23-3731",2,72,3,"IA",238
747,"IL23-3731",3,24,1,"IL",238
748,"IL23-3731",4,48,2,"ND",238
749,"IL23-3731",5,24,1,"NY",238
750,"IL23-3738",1,24,1,"AL",239
751,"IL23-3738",3,48,2,"IL",239
752,"IL23-3738",4,24,1,"ND",239
753,"IL23-3751",1,24,1,"AL",240
754,"IL23-3751",2,24,1,"IA",240
755,"IL23-3751",4,24,1,"ND",240
756,"IL23-3751",5,48,2,"NY",240
757,"IL23-3754",1,48,2,"AL",241
758,"IL23-3754",2,24,1,"IA",241
759,"IL23-3754",5,24,1,"NY",241
760,"IL23-3759",1,24,1,"AL",242
761,"IL23-3759",3,24,1,"IL",242
762,"IL23-3759",4,48,2,"ND",242
763,"IL23-376",1,72,3,"AL",91
764,"IL23-376",3,24,1,"IL",91
765,"IL23-376",4,72,3,"ND",91
766,"IL23-376",5,48,2,"NY",91
767,"IL23-377",1,24,1,"AL",92
768,"IL23-377",2,24,1,"IA",92
769,"IL23-377",3,48,2,"IL",92
770,"IL23-377",4,72,3,"ND",92
771,"IL23-377",5,24,1,"NY",92
772,"IL23-3823",1,48,2,"AL",243
773,"IL23-3823",2,24,1,"IA",243
774,"IL23-3823",3,72,3,"IL",243
775,"IL23-3823",4,48,2,"ND",243
776,"IL23-3823",5,24,1,"NY",243
777,"IL23-3826",1,24,1,"AL",244
778,"IL23-3826",2,72,3,"IA",244
779,"IL23-3826",3,48,2,"IL",244
780,"IL23-3826",4,24,1,"ND",244
781,"IL23-3827",1,24,1,"AL",245
782,"IL23-3827",4,24,1,"ND",245
783,"IL23-3829",2,48,2,"IA",246
784,"IL23-3829",4,24,1,"ND",246
785,"IL23-3829",5,24,1,"NY",246
786,"IL23-3830",1,24,1,"AL",247
787,"IL23-3830",4,48,2,"ND",247
788,"IL23-3830",5,24,1,"NY",247
789,"IL23-3838",2,72,3,"IA",248
790,"IL23-3838",3,72,3,"IL",248
791,"IL23-3838",4,24,1,"ND",248
792,"IL23-3838",5,24,1,"NY",248
793,"IL23-3842",1,72,3,"AL",249
794,"IL23-3842",2,48,2,"IA",249
795,"IL23-3842",3,24,1,"IL",249
796,"IL23-3842",4,24,1,"ND",249
797,"IL23-3842",5,96,4,"NY",249
798,"IL23-3848",1,24,1,"AL",250
799,"IL23-3848",2,24,1,"IA",250
800,"IL23-3848",4,48,2,"ND",250
801,"IL23-3848",5,24,1,"NY",250
802,"IL23-3857",2,24,1,"IA",251
803,"IL23-3857",4,24,1,"ND",251
804,"IL23-3857",5,24,1,"NY",251
805,"IL23-3874",2,72,3,"IA",252
806,"IL23-3874",3,24,1,"IL",252
807,"IL23-3874",5,48,2,"NY",252
808,"IL23-4037",1,96,4,"AL",253
809,"IL23-4039",1,48,2,"AL",254
810,"IL23-4039",3,48,2,"IL",254
811,"IL23-4039",4,24,1,"ND",254
812,"IL23-4039",5,48,2,"NY",254
813,"IL23-4049",2,48,2,"IA",255
814,"IL23-4049",3,48,2,"IL",255
815,"IL23-4049",4,120,5,"ND",255
816,"IL23-4049",5,48,2,"NY",255
817,"IL23-4063",1,48,2,"AL",256
818,"IL23-4063",3,96,4,"IL",256
819,"IL23-4063",4,72,3,"ND",256
820,"IL23-4063",5,24,1,"NY",256
821,"IL23-4079",1,24,1,"AL",257
822,"IL23-4079",2,24,1,"IA",257
823,"IL23-4079",3,24,1,"IL",257
824,"IL23-4079",4,48,2,"ND",257
825,"IL23-4079",5,24,1,"NY",257
826,"IL23-4118",2,48,2,"IA",258
827,"IL23-4118",3,24,1,"IL",258
828,"IL23-4118",4,24,1,"ND",258
829,"IL23-4144",1,24,1,"AL",259
830,"IL23-4144",2,48,2,"IA",259
831,"IL23-4144",3,72,3,"IL",259
832,"IL23-415",1,48,2,"AL",93
833,"IL23-415",2,24,1,"IA",93
834,"IL23-415",3,24,1,"IL",93
835,"IL23-415",4,72,3,"ND",93
836,"IL23-415",5,72,3,"NY",93
837,"IL23-418",3,24,1,"IL",94
838,"IL23-422",2,24,1,"IA",95
839,"IL23-422",3,72,3,"IL",95
840,"IL23-422",5,72,3,"NY",95
841,"IL23-423",1,96,4,"AL",96
842,"IL23-423",2,48,2,"IA",96
843,"IL23-423",3,24,1,"IL",96
844,"IL23-423",4,48,2,"ND",96
845,"IL23-423",5,24,1,"NY",96
846,"IL23-4243",1,48,2,"AL",260
847,"IL23-4243",3,48,2,"IL",260
848,"IL23-4243",4,24,1,"ND",260
849,"IL23-4243",5,24,1,"NY",260
850,"IL23-4252",1,120,5,"AL",261
851,"IL23-4252",2,48,2,"IA",261
852,"IL23-4252",3,48,2,"IL",261
853,"IL23-4252",4,24,1,"ND",261
854,"IL23-4252",5,24,1,"NY",261
855,"IL23-4253",1,24,1,"AL",262
856,"IL23-4253",3,72,3,"IL",262
857,"IL23-4253",4,24,1,"ND",262
858,"IL23-4259",1,24,1,"AL",263
859,"IL23-4259",3,24,1,"IL",263
860,"IL23-4259",4,48,2,"ND",263
861,"IL23-4259",5,72,3,"NY",263
862,"IL23-4274",1,96,4,"AL",264
863,"IL23-4274",2,24,1,"IA",264
864,"IL23-4274",4,48,2,"ND",264
865,"IL23-4274",5,72,3,"NY",264
866,"IL23-4423",3,24,1,"IL",265
867,"IL23-4423",4,24,1,"ND",265
868,"IL23-4444",1,48,2,"AL",266
869,"IL23-4444",2,24,1,"IA",266
870,"IL23-4444",3,24,1,"IL",266
871,"IL23-445",2,72,3,"IA",97
872,"IL23-445",3,48,2,"IL",97
873,"IL23-445",4,24,1,"ND",97
874,"IL23-445",5,48,2,"NY",97
875,"IL23-4469",1,24,1,"AL",267
876,"IL23-4469",2,48,2,"IA",267
877,"IL23-4469",3,48,2,"IL",267
878,"IL23-4469",4,48,2,"ND",267
879,"IL23-4469",5,72,3,"NY",267
880,"IL23-453",1,48,2,"AL",98
881,"IL23-453",2,24,1,"IA",98
882,"IL23-453",3,24,1,"IL",98
883,"IL23-4542",2,48,2,"IA",268
884,"IL23-4542",3,24,1,"IL",268
885,"IL23-4543",1,24,1,"AL",269
886,"IL23-4543",3,72,3,"IL",269
887,"IL23-4543",4,24,1,"ND",269
888,"IL23-4546",1,48,2,"AL",270
889,"IL23-4546",2,24,1,"IA",270
890,"IL23-4546",3,48,2,"IL",270
891,"IL23-4546",4,24,1,"ND",270
892,"IL23-4546",5,72,3,"NY",270
893,"IL23-4547",1,24,1,"AL",271
894,"IL23-4547",2,24,1,"IA",271
895,"IL23-4547",3,24,1,"IL",271
896,"IL23-4547",4,48,2,"ND",271
897,"IL23-4547",5,48,2,"NY",271
898,"IL23-4554",1,24,1,"AL",272
899,"IL23-4554",2,72,3,"IA",272
900,"IL23-4554",3,24,1,"IL",272
901,"IL23-4554",4,24,1,"ND",272
902,"IL23-4555",1,24,1,"AL",273
903,"IL23-4555",2,48,2,"IA",273
904,"IL23-4555",3,48,2,"IL",273
905,"IL23-4555",4,24,1,"ND",273
906,"IL23-4572",1,96,4,"AL",274
907,"IL23-4572",2,48,2,"IA",274
908,"IL23-4572",3,72,3,"IL",274
909,"IL23-4572",4,48,2,"ND",274
910,"IL23-4572",5,72,3,"NY",274
911,"IL23-4575",2,24,1,"IA",275
912,"IL23-4575",4,24,1,"ND",275
913,"IL23-4575",5,72,3,"NY",275
914,"IL23-4718",3,24,1,"IL",276
915,"IL23-4718",4,24,1,"ND",276
916,"IL23-4718",5,72,3,"NY",276
917,"IL23-4721",1,24,1,"AL",277
918,"IL23-4721",2,48,2,"IA",277
919,"IL23-4722",1,24,1,"AL",278
920,"IL23-4722",2,24,1,"IA",278
921,"IL23-4722",3,72,3,"IL",278
922,"IL23-4722",4,96,4,"ND",278
923,"IL23-4722",5,72,3,"NY",278
924,"IL23-4746",2,24,1,"IA",279
925,"IL23-4746",3,24,1,"IL",279
926,"IL23-475",1,48,2,"AL",99
927,"IL23-475",3,72,3,"IL",99
928,"IL23-475",5,48,2,"NY",99
929,"IL23-4835",1,96,4,"AL",280
930,"IL23-4835",2,48,2,"IA",280
931,"IL23-4835",3,48,2,"IL",280
932,"IL23-4835",4,48,2,"ND",280
933,"IL23-4835",5,24,1,"NY",280
934,"IL23-509",2,24,1,"IA",100
935,"IL23-509",3,48,2,"IL",100
936,"IL23-509",5,24,1,"NY",100
937,"IL23-512",1,72,3,"AL",101
938,"IL23-512",2,24,1,"IA",101
939,"IL23-512",3,72,3,"IL",101
940,"IL23-512",4,24,1,"ND",101
941,"IL23-512",5,96,4,"NY",101
942,"IL23-524",1,144,6,"AL",102
943,"IL23-524",2,72,3,"IA",102
944,"IL23-524",3,72,3,"IL",102
945,"IL23-524",4,48,2,"ND",102
946,"IL23-524",5,144,6,"NY",102
947,"IL23-543",1,72,3,"AL",103
948,"IL23-543",2,24,1,"IA",103
949,"IL23-543",3,48,2,"IL",103
950,"IL23-543",4,48,2,"ND",103
951,"IL23-543",5,24,1,"NY",103
952,"IL23-551",1,48,2,"AL",104
953,"IL23-551",2,24,1,"IA",104
954,"IL23-551",3,24,1,"IL",104
955,"IL23-551",4,48,2,"ND",104
956,"IL23-551",5,48,2,"NY",104
957,"IL23-558",1,24,1,"AL",105
958,"IL23-558",2,48,2,"IA",105
959,"IL23-558",3,48,2,"IL",105
960,"IL23-558",4,48,2,"ND",105
961,"IL23-558",5,48,2,"NY",105
962,"IL23-612",1,120,5,"AL",106
963,"IL23-612",2,96,4,"IA",106
964,"IL23-612",5,48,2,"NY",106
965,"IL23-621",1,24,1,"AL",107
966,"IL23-621",2,72,3,"IA",107
967,"IL23-621",3,48,2,"IL",107
968,"IL23-621",4,72,3,"ND",107
969,"IL23-621",5,24,1,"NY",107
970,"IL23-652",1,48,2,"AL",108
971,"IL23-652",2,72,3,"IA",108
972,"IL23-652",3,24,1,"IL",108
973,"IL23-660",1,24,1,"AL",109
974,"IL23-660",2,120,5,"IA",109
975,"IL23-660",3,24,1,"IL",109
976,"IL23-660",4,24,1,"ND",109
977,"IL23-660",5,24,1,"NY",109
978,"IL23-661",2,24,1,"IA",110
979,"IL23-661",3,24,1,"IL",110
980,"IL23-661",4,24,1,"ND",110
981,"IL23-661",5,24,1,"NY",110
982,"IL23-669",1,24,1,"AL",111
983,"IL23-669",2,24,1,"IA",111
984,"IL23-669",3,96,4,"IL",111
985,"IL23-669",4,24,1,"ND",111
986,"IL23-669",5,96,4,"NY",111
987,"IL23-723",1,48,2,"AL",112
988,"IL23-723",2,24,1,"IA",112
989,"IL23-723",3,48,2,"IL",112
990,"IL23-723",4,24,1,"ND",112
991,"IL23-723",5,48,2,"NY",112
992,"IL23-739",1,120,5,"AL",113
993,"IL23-739",2,96,4,"IA",113
994,"IL23-739",4,24,1,"ND",113
995,"IL23-739",5,24,1,"NY",113
996,"IL23-763",2,72,3,"IA",114
997,"IL23-763",3,48,2,"IL",114
998,"IL23-763",4,72,3,"ND",114
999,"IL23-763",5,48,2,"NY",114
1000,"IL23-771",1,48,2,"AL",115
1001,"IL23-771",2,24,1,"IA",115
1002,"IL23-771",3,24,1,"IL",115
1003,"IL23-771",4,72,3,"ND",115
1004,"IL23-771",5,48,2,"NY",115
1005,"IL23-810",1,72,3,"AL",116
1006,"IL23-810",3,72,3,"IL",116
1007,"IL23-810",4,48,2,"ND",116
1008,"IL23-875",1,48,2,"AL",117
1009,"IL23-875",3,48,2,"IL",117
1010,"IL23-875",4,72,3,"ND",117
1011,"IL23-875",5,24,1,"NY",117
1012,"IL23-906",1,24,1,"AL",118
1013,"IL23-906",2,24,1,"IA",118
1014,"IL23-906",4,24,1,"ND",118
1015,"IL23-906",5,24,1,"NY",118
1016,"IL23-907",1,48,2,"AL",119
1017,"IL23-907",3,48,2,"IL",119
1018,"IL23-911",2,48,2,"IA",120
1019,"IL23-911",3,24,1,"IL",120
1020,"IL23-911",4,24,1,"ND",120
1021,"IL23-913",1,24,1,"AL",121
1022,"IL23-913",3,24,1,"IL",121
1023,"IL23-913",4,24,1,"ND",121
1024,"IL23-913",5,48,2,"NY",121
1025,"IL23-923",1,72,3,"AL",122
1026,"IL23-923",2,24,1,"IA",122
1027,"IL23-923",3,72,3,"IL",122
1028,"IL23-923",4,24,1,"ND",122
1029,"IL23-923",5,48,2,"NY",122
1030,"IL23-939",2,48,2,"IA",123
1031,"IL23-939",3,48,2,"IL",123
1032,"IL23-939",4,48,2,"ND",123
1033,"IL23-939",5,24,1,"NY",123
1034,"IL23-943",1,48,2,"AL",124
1035,"IL23-943",2,24,1,"IA",124
1036,"IL23-943",3,48,2,"IL",124
1037,"IL23-943",4,48,2,"ND",124
1038,"IL23-943",5,48,2,"NY",124
1039,"IL23-951",1,48,2,"AL",125
1040,"IL23-951",2,96,4,"IA",125
1041,"IL23-951",3,120,5,"IL",125
1042,"IL23-951",4,48,2,"ND",125
1043,"IL23-951",5,48,2,"NY",125
1044,"IL23-957",2,48,2,"IA",126
1045,"IL23-957",3,24,1,"IL",126
1046,"IL23-957",4,72,3,"ND",126
1047,"IL23-957",5,24,1,"NY",126
1048,"IL23-959",1,72,3,"AL",127
1049,"IL23-959",2,24,1,"IA",127
1050,"IL23-963",1,24,1,"AL",128
1051,"IL23-963",2,48,2,"IA",128
1052,"IL23-963",3,24,1,"IL",128
1053,"IL23-963",4,48,2,"ND",128
1054,"IL23-963",5,96,4,"NY",128
1055,"IL23-965",1,24,1,"AL",129
1056,"IL23-965",2,24,1,"IA",129
1057,"IL23-965",3,24,1,"IL",129
1058,"IL23-965",4,24,1,"ND",129
1059,"IL23-965",5,24,1,"NY",129
1060,"IL23-971",1,48,2,"AL",130
1061,"IL23-971",2,96,4,"IA",130
1062,"IL23-971",3,96,4,"IL",130
1063,"IL23-971",4,24,1,"ND",130
1064,"IL23-971",5,96,4,"NY",130
